Pathway,P_Omnibus_Kruskal,P_NonIBD_vs_CD,P_NonIBD_vs_UC,Mean_NonIBD,Mean_CD,Mean_UC,FDR_Omnibus,FDR_CD,FDR_UC,Status
PWY-7234: inosine-5'-phosphate biosynthesis III,4.11586947423928e-26,7.20259004189695e-05,1.4430995211782e-25,88.1328029066667,76.4352413907285,49.4001032808399,6.46191507455567e-24,0.000235584715953713,4.53133249649956e-23,Depleted_in_UC
P42-PWY: incomplete reductive TCA cycle,1.26635152408216e-20,0.00151919022172297,2.48730187714076e-20,25.4963988,21.3455355811258,12.4001484671916,5.68049112231142e-19,0.00315911079219214,3.90506394711099e-18,Depleted_in_UC
"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",9.17964797306271e-24,2.3839219766259e-22,1.79444403181359e-16,66.63364328,35.5103657119205,37.9955235433071,9.60803154513897e-22,1.87137875165133e-20,1.87818475329822e-14,Depleted_in_UC
P108-PWY: pyruvate fermentation to propanoate I,2.61735414146595e-14,1.66390188498324e-06,7.58157264783603e-16,36.74246424,29.9095234933775,24.2898436955381,3.57325739313178e-13,9.16605599797784e-06,5.95153452855129e-14,Depleted_in_UC
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase),4.90917278837416e-16,0.0139755552898984,1.47602363618792e-15,37.2809400533333,38.5024495860927,23.8554745406824,1.02765350369966e-14,0.0228558560470214,9.26942843526014e-14,Depleted_in_UC
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP,2.44226980662957e-19,0.598219254203777,1.82622806550735e-14,29.6741637866667,32.9141046076159,14.6757642782152,8.52080799201873e-18,0.64996832463663,9.55726020948845e-13,Depleted_in_UC
PWY66-399: gluconeogenesis III,4.40178989060831e-23,3.9556246034554e-23,1.27549450708406e-13,66.6562802666667,40.5924018211921,44.7043567191601,2.76432405130202e-21,4.14022041828331e-21,5.72150393177709e-12,Depleted_in_UC
PWY-6263: superpathway of menaquinol-8 biosynthesis II,2.64791901312476e-21,7.26589371361039e-20,7.00273545309728e-13,8.28076893333333,3.60933887417219,3.84521622047244,1.38574428353529e-19,3.25927232296237e-18,2.74857366534068e-11,Depleted_in_UC
"PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II",3.86477733547859e-11,2.04944337840119e-06,1.43762517051134e-11,4.93100914666667,3.69717354304636,1.90159341207349,3.56923553923611e-10,1.10952624278961e-05,5.01571448378402e-10,Depleted_in_UC
TRNA-CHARGING-PWY: tRNA charging,1.79256052663915e-27,4.55401092831686e-28,1.64510493987539e-11,504.548776,455.347816059603,461.8727,5.62864005364693e-25,1.42995943149149e-25,5.16562951120872e-10,Depleted_in_UC
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II,2.19405666543376e-11,1.64603176954636e-06,2.21287384833714e-11,177.272626133333,160.740734437086,143.394605774278,2.08767816044303e-10,9.16605599797784e-06,6.3167489852533e-10,Depleted_in_UC
PWY-5136: fatty acid &beta;-oxidation II (peroxisome),4.6879434665752e-12,7.23883823086952e-10,3.10513248969759e-11,14.49218768,31.9022838410596,24.9333633070866,5.07591120174004e-11,6.68528001321479e-09,8.12509668137536e-10,Enriched_in_UC
FAO-PWY: fatty acid &beta;-oxidation I,6.71127723222095e-12,9.22220884971902e-10,4.26865737957428e-11,16.3335444266667,36.1189315728477,27.4992982414698,7.02447016972459e-11,8.27363879660507e-09,1.03104493629717e-09,Enriched_in_UC
