Species	p_value	p_adj
Alistipes finegoldii	0.01147428242426996	0.5655006285775891
Bacteroides uniformis	0.012778387649535726	0.5655006285775891
Coprococcus comes	0.01760387266011219	0.5655006285775891
Bacteroides fragilis	0.030561934957992573	0.5655006285775891
Acidaminococcus intestini	0.031780413409148806	0.5655006285775891
Clostridium citroniae	0.031780413409148806	0.5655006285775891
Clostridium sp CAG 242	0.031780413409148806	0.5655006285775891
Bilophila wadsworthia	0.04923694064420213	0.5655006285775891
Escherichia coli	0.0615889549503905	0.5655006285775891
Eubacterium siraeum	0.06871568613627455	0.5655006285775891
Bacteroides finegoldii	0.07944206439580898	0.5655006285775891
Firmicutes bacterium CAG 83	0.09671372043304419	0.5655006285775891
Eubacterium sp CAG 38	0.10536019504016138	0.5655006285775891
Flavonifractor plautii	0.10790804499873217	0.5655006285775891
Anaerotruncus sp CAG 528	0.11731916609425078	0.5655006285775891
Clostridium clostridioforme	0.11731916609425078	0.5655006285775891
Clostridium sp CAG 299	0.11731916609425078	0.5655006285775891
Collinsella intestinalis	0.11731916609425078	0.5655006285775891
Dialister sp CAG 357	0.11731916609425078	0.5655006285775891
Dielma fastidiosa	0.11731916609425078	0.5655006285775891
Eubacterium sp CAG 180	0.11731916609425078	0.5655006285775891
Haemophilus sp HMSC71H05	0.11731916609425078	0.5655006285775891
Megamonas funiformis	0.11731916609425078	0.5655006285775891
Prevotella buccalis	0.11731916609425078	0.5655006285775891
Pseudoflavonifractor capillosus	0.11731916609425078	0.5655006285775891
Sutterella parvirubra	0.11731916609425078	0.5655006285775891
Holdemania filiformis	0.1297231206294045	0.5655006285775891
Bacteroides caccae	0.13592712755740222	0.5655006285775891
Clostridium sp CAG 58	0.13837080814994557	0.5655006285775891
Gemmiger formicilis	0.14634064619614556	0.5655006285775891
Bacteroides faecis	0.16069690046773943	0.5655006285775891
Oscillibacter sp CAG 241	0.16069690046773943	0.5655006285775891
Bacteroides cellulosilyticus	0.17738872559497665	0.5655006285775891
Faecalibacterium prausnitzii	0.18086579261712193	0.5655006285775891
Alistipes putredinis	0.18292726454235408	0.5655006285775891
Proteobacteria bacterium CAG 139	0.19527756283568679	0.5655006285775891
Bacteroides vulgatus	0.210136071200765	0.5655006285775891
Ruminococcus torques	0.2135001706409326	0.5655006285775891
Anaeromassilibacillus sp An250	0.2251076671448936	0.5655006285775891
Parabacteroides merdae	0.22814411239849972	0.5655006285775891
Roseburia hominis	0.258158428599478	0.5655006285775891
Clostridium bolteae CAG 59	0.26623985546252915	0.5655006285775891
Clostridium lavalense	0.26623985546252915	0.5655006285775891
Clostridium symbiosum	0.26623985546252915	0.5655006285775891
Collinsella stercoris	0.26623985546252915	0.5655006285775891
Coprococcus catus	0.26623985546252915	0.5655006285775891
Megamonas funiformis CAG 377	0.26623985546252915	0.5655006285775891
Megamonas hypermegale	0.26623985546252915	0.5655006285775891
Parabacteroides goldsteinii	0.26623985546252915	0.5655006285775891
Streptococcus thermophilus	0.2675413854478296	0.5655006285775891
Bacteroides nordii	0.27221135592452456	0.5655006285775891
Clostridium sp CAG 167	0.27221135592452456	0.5655006285775891
