SampleID	Condition	Observed_Richness	Shannon	Simpson	Pielou_Evenness
SRR5936131	CD	49	1.9509179275336153	0.7779310126763748	0.5012867445294772
SRR5936221	CD	59	1.9178605847928192	0.75931607813818	0.4703477555207372
SRR5946691	CD	52	2.195649726334848	0.8320650677090727	0.5556857239682315
SRR5946902	CD	52	1.6009036728053385	0.62210786795474	0.40516449675751554
SRR5946910	CD	55	2.3558638923535753	0.85662008068924	0.587888199822074
SRR5936197	NonIBD	50	2.4725595349786293	0.8787810430633998	0.6320411540391807
SRR5946623	NonIBD	49	2.053815729001872	0.7865596217283399	0.5277262493334915
SRR5946876	NonIBD	77	2.5847863366825234	0.8032316513202418	0.5950511327414585
SRR5946993	NonIBD	49	2.7016190664290263	0.9049963783552151	0.694178779976195
SRR5950729	NonIBD	65	2.580334051145966	0.8685785241566817	0.6181348026222964
SRR5946975	UC	59	2.973412509381542	0.9262130294837312	0.7292177080619086
SRR5947065	UC	43	1.4915375869647602	0.5533270590800459	0.3965589548775503
SRR5950712	UC	39	1.285030308890649	0.4728634798114201	0.3507598432929916
SRR5950758	UC	85	3.2429508443505597	0.9405213782957537	0.7299584543380258
SRR5950780	UC	46	2.176196679768409	0.83870837338332	0.568399192926244
