Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5936131	(1, 65.29939999999999)	(2, 37.4803)	(3, 38.9656)	(4, 38.4841)	(5, 26.173099999999998)	(6, 38.212)	(7, 39.5346)	(8, 40.4565)	(9, 60.66550000000001)	(10, 39.1226)	(11, 49.0075)	(12, 41.470800000000004)	(13, 49.5592)	(14, 51.195800000000006)	(15, 47.5894)	(16, 45.3023)	(17, 43.36)	(18, 43.3112)	(19, 44.1898)	(20, 44.8117)	(21, 44.6296)	(22, 44.8895)	(23, 45.0039)	(24, 44.811499999999995)	(25, 45.1785)	(26, 45.1589)	(27, 45.000299999999996)	(28, 45.2146)	(29, 45.1751)	(30, 44.9979)	(31, 45.092999999999996)	(32, 45.001999999999995)	(33, 44.7422)	(34, 45.0276)	(35, 45.128299999999996)	(36, 44.8465)	(37, 45.2665)	(38, 45.2484)	(39, 45.067299999999996)	(40, 45.3421)	(41, 45.3129)	(42, 45.1042)	(43, 45.2481)	(44, 45.2581)	(45, 44.9446)	(46, 45.0706)	(47, 45.0577)	(48, 44.8418)	(49, 45.104)	(50, 45.1277)	(51, 45.006800000000005)	(52, 45.1823)	(53, 45.243100000000005)	(54, 44.9834)	(55, 45.1268)	(56, 45.0646)	(57, 44.8623)	(58, 45.0353)	(59, 45.139)	(60, 44.8825)	(61, 45.169599999999996)	(62, 45.1453)	(63, 44.988)	(64, 45.1319)	(65, 45.0731)	(66, 44.8392)	(67, 45.0648)	(68, 45.0991)	(69, 44.8305)	(70, 45.114900000000006)	(71, 45.0911)	(72, 44.9185)	(73, 45.1847)	(74, 45.1642)	(75, 44.9709)	(76, 45.1438)	(77, 45.1266)	(78, 44.8743)	(79, 45.0839)	(80, 45.0417)	(81, 44.839800000000004)	(82, 45.0961)	(83, 45.0758)	(84, 44.9226)	(85, 45.0778)	(86, 45.128800000000005)	(87, 44.9116)	(88, 45.0577)	(89, 45.0545)	(90, 44.859300000000005)	(91, 45.0255)	(92, 45.0661)	(93, 44.887100000000004)	(94, 45.043299999999995)	(95, 45.3874)	(96, 45.002199999999995)	(97, 45.4235)	(98, 45.1789)	(99, 45.2648)	(100, 45.1181)	(101, 45.3479)
SRR5936197	(1, 65.0062)	(2, 36.9735)	(3, 38.7376)	(4, 38.405699999999996)	(5, 26.477)	(6, 38.7929)	(7, 40.0801)	(8, 40.055099999999996)	(9, 59.134)	(10, 39.9949)	(11, 49.1828)	(12, 41.8478)	(13, 49.5875)	(14, 51.0718)	(15, 47.5152)	(16, 45.224)	(17, 43.1909)	(18, 43.1991)	(19, 44.0728)	(20, 44.567)	(21, 44.4366)	(22, 44.6973)	(23, 44.7674)	(24, 44.6075)	(25, 44.925)	(26, 44.8835)	(27, 44.718799999999995)	(28, 44.993100000000005)	(29, 44.9557)	(30, 44.7849)	(31, 44.8743)	(32, 44.7412)	(33, 44.5238)	(34, 44.7446)	(35, 44.8298)	(36, 44.6066)	(37, 44.9949)	(38, 44.9681)	(39, 44.8335)	(40, 45.11)	(41, 44.9662)	(42, 44.8891)	(43, 45.0259)	(44, 44.9416)	(45, 44.7076)	(46, 44.8084)	(47, 44.7372)	(48, 44.5484)	(49, 44.8423)	(50, 44.8431)	(51, 44.7599)	(52, 44.9325)	(53, 44.8801)	(54, 44.7211)	(55, 44.8602)	(56, 44.7836)	(57, 44.5787)	(58, 44.8027)	(59, 44.7826)	(60, 44.634299999999996)	(61, 44.9518)	(62, 44.8469)	(63, 44.7205)	(64, 44.8437)	(65, 44.7761)	(66, 44.5969)	(67, 44.8343)	(68, 44.7569)	(69, 44.577600000000004)	(70, 44.8354)	(71, 44.7057)	(72, 44.6313)	(73, 44.9011)	(74, 44.846399999999996)	(75, 44.7173)	(76, 44.852)	(77, 44.7477)	(78, 44.6111)	(79, 44.7676)	(80, 44.7285)	(81, 44.5561)	(82, 44.8027)	(83, 44.719300000000004)	(84, 44.6646)	(85, 44.832)	(86, 44.7716)	(87, 44.6341)	(88, 44.783899999999996)	(89, 44.715700000000005)	(90, 44.5357)	(91, 44.7615)	(92, 44.6664)	(93, 44.5734)	(94, 44.7954)	(95, 45.053)	(96, 44.7206)	(97, 45.1843)	(98, 44.864)	(99, 45.014900000000004)	(100, 44.867200000000004)	(101, 44.7496)
SRR5936221	(1, 64.6429)	(2, 37.8684)	(3, 39.0998)	(4, 39.0105)	(5, 26.6775)	(6, 38.9208)	(7, 40.3208)	(8, 40.842600000000004)	(9, 60.2202)	(10, 39.3388)	(11, 49.6802)	(12, 41.7151)	(13, 49.649)	(14, 51.130399999999995)	(15, 47.3512)	(16, 45.1944)	(17, 43.2347)	(18, 43.1385)	(19, 44.0451)	(20, 44.5463)	(21, 44.3565)	(22, 44.761)	(23, 44.813399999999994)	(24, 44.5839)	(25, 44.9622)	(26, 44.931599999999996)	(27, 44.715700000000005)	(28, 44.9944)	(29, 44.9991)	(30, 44.7086)	(31, 44.8831)	(32, 44.8218)	(33, 44.469500000000004)	(34, 44.8241)	(35, 44.8737)	(36, 44.5984)	(37, 45.0437)	(38, 45.041599999999995)	(39, 44.8282)	(40, 45.1509)	(41, 45.056200000000004)	(42, 44.8671)	(43, 45.055499999999995)	(44, 45.0793)	(45, 44.6658)	(46, 44.8585)	(47, 44.837199999999996)	(48, 44.5665)	(49, 44.8814)	(50, 44.992599999999996)	(51, 44.7052)	(52, 44.9589)	(53, 44.9548)	(54, 44.696200000000005)	(55, 44.8854)	(56, 44.948100000000004)	(57, 44.5916)	(58, 44.8557)	(59, 44.891)	(60, 44.6197)	(61, 45.0547)	(62, 44.931599999999996)	(63, 44.7753)	(64, 44.940000000000005)	(65, 44.948100000000004)	(66, 44.6299)	(67, 44.888099999999994)	(68, 44.9093)	(69, 44.6432)	(70, 44.9084)	(71, 44.911)	(72, 44.6394)	(73, 45.009100000000004)	(74, 44.9715)	(75, 44.7654)	(76, 44.9139)	(77, 44.9031)	(78, 44.6406)	(79, 44.8693)	(80, 44.868)	(81, 44.6204)	(82, 44.9148)	(83, 44.8674)	(84, 44.638099999999994)	(85, 44.9283)	(86, 44.9266)	(87, 44.6751)	(88, 44.9125)	(89, 44.8942)	(90, 44.622499999999995)	(91, 44.901)	(92, 44.8404)	(93, 44.677299999999995)	(94, 44.907599999999995)	(95, 45.218199999999996)	(96, 44.7735)	(97, 45.2791)	(98, 45.0313)	(99, 45.0336)	(100, 44.9994)	(101, 45.1836)
SRR5946623	(1, 63.4809)	(2, 37.047999999999995)	(3, 37.9807)	(4, 37.5507)	(5, 25.336799999999997)	(6, 37.3315)	(7, 38.9469)	(8, 39.8504)	(9, 59.0978)	(10, 38.5253)	(11, 47.6939)	(12, 40.2582)	(13, 48.4544)	(14, 49.661100000000005)	(15, 46.262)	(16, 44.0501)	(17, 42.1144)	(18, 42.046099999999996)	(19, 43.0249)	(20, 43.5286)	(21, 43.296800000000005)	(22, 43.7881)	(23, 43.7316)	(24, 43.5417)	(25, 43.9905)	(26, 43.858599999999996)	(27, 43.6954)	(28, 44.040800000000004)	(29, 43.9765)	(30, 43.7637)	(31, 43.9483)	(32, 43.7717)	(33, 43.4946)	(34, 43.858599999999996)	(35, 43.8772)	(36, 43.587199999999996)	(37, 44.1544)	(38, 44.0304)	(39, 43.865300000000005)	(40, 44.2096)	(41, 44.052400000000006)	(42, 43.8204)	(43, 44.1141)	(44, 44.0666)	(45, 43.6872)	(46, 44.0079)	(47, 43.8243)	(48, 43.6629)	(49, 44.0726)	(50, 44.0135)	(51, 43.837399999999995)	(52, 44.1055)	(53, 44.0143)	(54, 43.8257)	(55, 44.0886)	(56, 44.009)	(57, 43.7125)	(58, 44.0133)	(59, 43.9741)	(60, 43.7932)	(61, 44.2397)	(62, 44.0387)	(63, 43.8339)	(64, 44.0809)	(65, 44.0817)	(66, 43.8061)	(67, 44.004599999999996)	(68, 43.9906)	(69, 43.8187)	(70, 44.0654)	(71, 44.032)	(72, 43.7903)	(73, 44.1928)	(74, 44.0706)	(75, 43.8891)	(76, 44.1043)	(77, 43.9894)	(78, 43.7494)	(79, 44.1133)	(80, 43.9874)	(81, 43.7284)	(82, 44.102999999999994)	(83, 44.0)	(84, 43.822)	(85, 44.143)	(86, 44.0272)	(87, 43.8617)	(88, 44.101099999999995)	(89, 44.0215)	(90, 43.8147)	(91, 44.0998)	(92, 43.9876)	(93, 43.7811)	(94, 44.1374)	(95, 44.3611)	(96, 43.9475)	(97, 44.5926)	(98, 44.2091)	(99, 44.3012)	(100, 44.3376)	(101, 44.623400000000004)
SRR5946691	(1, 63.037699999999994)	(2, 36.350100000000005)	(3, 37.7185)	(4, 37.3101)	(5, 25.572699999999998)	(6, 37.9385)	(7, 39.2683)	(8, 40.036300000000004)	(9, 59.9246)	(10, 38.579)	(11, 48.8252)	(12, 41.1495)	(13, 49.09)	(14, 50.6997)	(15, 47.0066)	(16, 44.6286)	(17, 42.7755)	(18, 42.686)	(19, 43.4803)	(20, 44.1788)	(21, 43.99)	(22, 44.2216)	(23, 44.4157)	(24, 44.1828)	(25, 44.4358)	(26, 44.5402)	(27, 44.3245)	(28, 44.5298)	(29, 44.6433)	(30, 44.3624)	(31, 44.3828)	(32, 44.4521)	(33, 44.1361)	(34, 44.3334)	(35, 44.5717)	(36, 44.231700000000004)	(37, 44.5715)	(38, 44.6853)	(39, 44.467099999999995)	(40, 44.667699999999996)	(41, 44.684200000000004)	(42, 44.4932)	(43, 44.5614)	(44, 44.707)	(45, 44.2738)	(46, 44.391999999999996)	(47, 44.4608)	(48, 44.247)	(49, 44.425399999999996)	(50, 44.579800000000006)	(51, 44.371100000000006)	(52, 44.479600000000005)	(53, 44.6179)	(54, 44.360699999999994)	(55, 44.4491)	(56, 44.5112)	(57, 44.198)	(58, 44.3611)	(59, 44.4826)	(60, 44.2793)	(61, 44.5032)	(62, 44.5813)	(63, 44.3914)	(64, 44.4549)	(65, 44.5518)	(66, 44.2284)	(67, 44.3328)	(68, 44.4837)	(69, 44.2006)	(70, 44.398700000000005)	(71, 44.472)	(72, 44.2686)	(73, 44.4407)	(74, 44.5628)	(75, 44.332100000000004)	(76, 44.3709)	(77, 44.4178)	(78, 44.162800000000004)	(79, 44.3224)	(80, 44.4122)	(81, 44.1325)	(82, 44.3345)	(83, 44.4076)	(84, 44.2102)	(85, 44.3933)	(86, 44.4469)	(87, 44.1727)	(88, 44.284)	(89, 44.413599999999995)	(90, 44.1406)	(91, 44.2947)	(92, 44.3666)	(93, 44.129000000000005)	(94, 44.305299999999995)	(95, 44.6863)	(96, 44.2685)	(97, 44.6433)	(98, 44.508700000000005)	(99, 44.5313)	(100, 44.367200000000004)	(101, 44.7073)
SRR5946876	(1, 63.868700000000004)	(2, 39.987)	(3, 41.199400000000004)	(4, 41.3416)	(5, 29.102800000000002)	(6, 40.903099999999995)	(7, 42.4813)	(8, 42.5817)	(9, 60.979099999999995)	(10, 40.9127)	(11, 51.0389)	(12, 43.5452)	(13, 51.0304)	(14, 52.4452)	(15, 48.7275)	(16, 46.7228)	(17, 44.8892)	(18, 44.7251)	(19, 45.7189)	(20, 46.2418)	(21, 46.0058)	(22, 46.4479)	(23, 46.4602)	(24, 46.1575)	(25, 46.6368)	(26, 46.558699999999995)	(27, 46.2896)	(28, 46.6825)	(29, 46.616)	(30, 46.3141)	(31, 46.6582)	(32, 46.5072)	(33, 46.1633)	(34, 46.5005)	(35, 46.568599999999996)	(36, 46.214499999999994)	(37, 46.6613)	(38, 46.6429)	(39, 46.3709)	(40, 46.7417)	(41, 46.6181)	(42, 46.4178)	(43, 46.7552)	(44, 46.6734)	(45, 46.300200000000004)	(46, 46.5374)	(47, 46.4249)	(48, 46.1139)	(49, 46.4694)	(50, 46.5444)	(51, 46.2702)	(52, 46.6077)	(53, 46.5468)	(54, 46.2561)	(55, 46.5297)	(56, 46.4771)	(57, 46.129799999999996)	(58, 46.490700000000004)	(59, 46.469500000000004)	(60, 46.142300000000006)	(61, 46.563)	(62, 46.474199999999996)	(63, 46.2313)	(64, 46.4978)	(65, 46.4542)	(66, 46.137)	(67, 46.4488)	(68, 46.3792)	(69, 46.1318)	(70, 46.4013)	(71, 46.3849)	(72, 46.1025)	(73, 46.457300000000004)	(74, 46.444)	(75, 46.1438)	(76, 46.4565)	(77, 46.3427)	(78, 46.0993)	(79, 46.3682)	(80, 46.3026)	(81, 46.0065)	(82, 46.3793)	(83, 46.286300000000004)	(84, 46.0426)	(85, 46.3675)	(86, 46.322)	(87, 46.0588)	(88, 46.3329)	(89, 46.3096)	(90, 46.037800000000004)	(91, 46.3194)	(92, 46.1974)	(93, 45.9598)	(94, 46.3298)	(95, 46.5935)	(96, 46.0609)	(97, 46.7346)	(98, 46.3418)	(99, 46.4371)	(100, 46.381499999999996)	(101, 46.5992)
SRR5946902	(1, 63.6543)	(2, 37.5385)	(3, 39.8575)	(4, 39.607)	(5, 27.5974)	(6, 39.3657)	(7, 40.7507)	(8, 40.8183)	(9, 59.425799999999995)	(10, 40.6597)	(11, 49.5975)	(12, 42.1617)	(13, 49.8466)	(14, 51.2625)	(15, 47.8461)	(16, 45.5961)	(17, 43.6046)	(18, 43.6191)	(19, 44.4328)	(20, 44.900600000000004)	(21, 44.790600000000005)	(22, 45.089800000000004)	(23, 45.1216)	(24, 44.9731)	(25, 45.388400000000004)	(26, 45.265100000000004)	(27, 45.089400000000005)	(28, 45.3854)	(29, 45.245999999999995)	(30, 45.1327)	(31, 45.269)	(32, 45.0862)	(33, 44.8753)	(34, 45.1662)	(35, 45.1623)	(36, 44.9785)	(37, 45.3648)	(38, 45.2834)	(39, 45.196799999999996)	(40, 45.4929)	(41, 45.3167)	(42, 45.2485)	(43, 45.374199999999995)	(44, 45.3282)	(45, 45.0494)	(46, 45.2225)	(47, 45.0944)	(48, 44.888600000000004)	(49, 45.2152)	(50, 45.150600000000004)	(51, 45.0719)	(52, 45.3546)	(53, 45.232299999999995)	(54, 45.0704)	(55, 45.2233)	(56, 45.1199)	(57, 44.952999999999996)	(58, 45.1837)	(59, 45.131)	(60, 44.9791)	(61, 45.289699999999996)	(62, 45.2204)	(63, 45.0376)	(64, 45.2559)	(65, 45.1416)	(66, 44.9307)	(67, 45.2233)	(68, 45.1373)	(69, 44.947199999999995)	(70, 45.2252)	(71, 45.083600000000004)	(72, 44.981500000000004)	(73, 45.3033)	(74, 45.222)	(75, 45.0445)	(76, 45.245200000000004)	(77, 45.0981)	(78, 44.981700000000004)	(79, 45.2055)	(80, 45.0657)	(81, 44.9649)	(82, 45.2459)	(83, 45.101200000000006)	(84, 44.9757)	(85, 45.227000000000004)	(86, 45.136900000000004)	(87, 44.9974)	(88, 45.2537)	(89, 45.1054)	(90, 44.9312)	(91, 45.1656)	(92, 45.0417)	(93, 44.9668)	(94, 45.178000000000004)	(95, 45.522400000000005)	(96, 45.1083)	(97, 45.657)	(98, 45.2693)	(99, 45.4683)	(100, 45.333400000000005)	(101, 45.3626)
SRR5946910	(1, 63.855799999999995)	(2, 36.6141)	(3, 38.1405)	(4, 37.8865)	(5, 25.9415)	(6, 38.4654)	(7, 39.624500000000005)	(8, 40.275800000000004)	(9, 60.728)	(10, 38.783)	(11, 49.5851)	(12, 41.5267)	(13, 49.6577)	(14, 51.3713)	(15, 47.5699)	(16, 45.2904)	(17, 43.3634)	(18, 43.2678)	(19, 44.0465)	(20, 44.7341)	(21, 44.564)	(22, 44.7667)	(23, 44.988299999999995)	(24, 44.716499999999996)	(25, 45.0306)	(26, 45.1016)	(27, 44.9025)	(28, 45.0399)	(29, 45.164100000000005)	(30, 44.8907)	(31, 44.8975)	(32, 44.9647)	(33, 44.6303)	(34, 44.858)	(35, 45.1037)	(36, 44.746900000000004)	(37, 45.097300000000004)	(38, 45.1933)	(39, 44.99)	(40, 45.176300000000005)	(41, 45.198100000000004)	(42, 44.9955)	(43, 45.0518)	(44, 45.2011)	(45, 44.7975)	(46, 44.8782)	(47, 44.9768)	(48, 44.7446)	(49, 44.947700000000005)	(50, 45.123999999999995)	(51, 44.9053)	(52, 45.0237)	(53, 45.1553)	(54, 44.8194)	(55, 44.966899999999995)	(56, 45.0593)	(57, 44.730599999999995)	(58, 44.8608)	(59, 45.0184)	(60, 44.7875)	(61, 45.0143)	(62, 45.1237)	(63, 44.8771)	(64, 44.9604)	(65, 45.042500000000004)	(66, 44.7442)	(67, 44.8604)	(68, 45.0121)	(69, 44.6969)	(70, 44.908)	(71, 44.9672)	(72, 44.7558)	(73, 44.9339)	(74, 45.0516)	(75, 44.7827)	(76, 44.8476)	(77, 44.916)	(78, 44.675599999999996)	(79, 44.8018)	(80, 44.9185)	(81, 44.6257)	(82, 44.811499999999995)	(83, 44.9206)	(84, 44.7278)	(85, 44.859500000000004)	(86, 44.9306)	(87, 44.6389)	(88, 44.7956)	(89, 44.8698)	(90, 44.606)	(91, 44.759100000000004)	(92, 44.8388)	(93, 44.6456)	(94, 44.7579)	(95, 45.1598)	(96, 44.697700000000005)	(97, 45.0915)	(98, 44.9511)	(99, 45.0025)	(100, 44.8082)	(101, 45.1049)
SRR5946975	(1, 64.5363)	(2, 38.1805)	(3, 39.6895)	(4, 38.981700000000004)	(5, 26.558999999999997)	(6, 38.9604)	(7, 40.608)	(8, 41.3356)	(9, 60.4398)	(10, 40.0127)	(11, 49.7378)	(12, 42.2041)	(13, 50.1224)	(14, 51.5678)	(15, 48.1242)	(16, 45.860299999999995)	(17, 43.9339)	(18, 43.8495)	(19, 44.8154)	(20, 45.332699999999996)	(21, 45.205600000000004)	(22, 45.5644)	(23, 45.5804)	(24, 45.425)	(25, 45.7987)	(26, 45.6935)	(27, 45.6184)	(28, 45.904)	(29, 45.8616)	(30, 45.6626)	(31, 45.8593)	(32, 45.6878)	(33, 45.4088)	(34, 45.7691)	(35, 45.772400000000005)	(36, 45.4767)	(37, 45.9311)	(38, 45.953)	(39, 45.7651)	(40, 46.0428)	(41, 45.9901)	(42, 45.8021)	(43, 45.996500000000005)	(44, 45.9238)	(45, 45.617999999999995)	(46, 45.8899)	(47, 45.7719)	(48, 45.5718)	(49, 45.939600000000006)	(50, 45.9025)	(51, 45.772600000000004)	(52, 46.0149)	(53, 45.9444)	(54, 45.705)	(55, 45.9137)	(56, 45.8793)	(57, 45.626400000000004)	(58, 45.885999999999996)	(59, 45.8778)	(60, 45.6816)	(61, 46.0393)	(62, 45.9525)	(63, 45.7637)	(64, 46.0117)	(65, 45.9502)	(66, 45.6823)	(67, 45.9316)	(68, 45.9286)	(69, 45.6631)	(70, 45.943)	(71, 45.9195)	(72, 45.7429)	(73, 46.0393)	(74, 46.015699999999995)	(75, 45.7514)	(76, 45.988600000000005)	(77, 45.9235)	(78, 45.724599999999995)	(79, 45.961200000000005)	(80, 45.885999999999996)	(81, 45.6692)	(82, 45.9582)	(83, 45.9544)	(84, 45.6785)	(85, 46.0049)	(86, 45.988099999999996)	(87, 45.778999999999996)	(88, 46.0366)	(89, 45.946)	(90, 45.7166)	(91, 45.9711)	(92, 45.8821)	(93, 45.745999999999995)	(94, 45.9868)	(95, 46.2464)	(96, 45.8455)	(97, 46.338)	(98, 46.0638)	(99, 46.1072)	(100, 46.097300000000004)	(101, 46.3802)
SRR5946993	(1, 68.17699999999999)	(2, 40.6181)	(3, 43.4984)	(4, 43.507400000000004)	(5, 30.018800000000002)	(6, 41.9218)	(7, 43.8564)	(8, 43.3851)	(9, 62.458000000000006)	(10, 43.2451)	(11, 52.978)	(12, 45.2337)	(13, 53.6001)	(14, 54.704600000000006)	(15, 51.505)	(16, 49.211)	(17, 46.887299999999996)	(18, 47.050599999999996)	(19, 48.1779)	(20, 48.2357)	(21, 48.3558)	(22, 48.8314)	(23, 48.5118)	(24, 48.4818)	(25, 49.032199999999996)	(26, 48.5526)	(27, 48.623)	(28, 49.1255)	(29, 48.6642)	(30, 48.6419)	(31, 49.0421)	(32, 48.5362)	(33, 48.4427)	(34, 48.8952)	(35, 48.574)	(36, 48.4947)	(37, 49.1454)	(38, 48.7369)	(39, 48.723)	(40, 49.1925)	(41, 48.6967)	(42, 48.7199)	(43, 49.106899999999996)	(44, 48.66)	(45, 48.5368)	(46, 48.942600000000006)	(47, 48.4664)	(48, 48.4307)	(49, 48.9703)	(50, 48.5616)	(51, 48.5833)	(52, 49.0212)	(53, 48.6694)	(54, 48.5458)	(55, 48.9491)	(56, 48.5001)	(57, 48.4351)	(58, 48.9339)	(59, 48.5029)	(60, 48.5225)	(61, 49.0075)	(62, 48.5647)	(63, 48.5708)	(64, 49.0049)	(65, 48.5505)	(66, 48.463499999999996)	(67, 48.9038)	(68, 48.4713)	(69, 48.437999999999995)	(70, 48.898)	(71, 48.461999999999996)	(72, 48.4634)	(73, 48.9659)	(74, 48.5474)	(75, 48.5645)	(76, 48.8838)	(77, 48.4514)	(78, 48.4416)	(79, 48.847)	(80, 48.4294)	(81, 48.3784)	(82, 48.866)	(83, 48.4385)	(84, 48.4844)	(85, 48.938199999999995)	(86, 48.4339)	(87, 48.4178)	(88, 48.8312)	(89, 48.464400000000005)	(90, 48.36)	(91, 48.7679)	(92, 48.3634)	(93, 48.3319)	(94, 48.8036)	(95, 48.587399999999995)	(96, 48.4205)	(97, 49.0563)	(98, 48.397600000000004)	(99, 48.688700000000004)	(100, 48.78)	(101, 49.007400000000004)
