Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5936131	(1, 64.9408)	(2, 37.647999999999996)	(3, 38.833)	(4, 38.5141)	(5, 25.5663)	(6, 38.1911)	(7, 39.5428)	(8, 40.467)	(9, 60.603899999999996)	(10, 39.0974)	(11, 48.9142)	(12, 41.4204)	(13, 49.513400000000004)	(14, 51.101)	(15, 47.4934)	(16, 45.231300000000005)	(17, 43.297200000000004)	(18, 43.2836)	(19, 44.1772)	(20, 44.7418)	(21, 44.6351)	(22, 44.8771)	(23, 44.995400000000004)	(24, 44.812000000000005)	(25, 45.1423)	(26, 45.103500000000004)	(27, 44.9399)	(28, 45.190999999999995)	(29, 45.1801)	(30, 44.9893)	(31, 45.102599999999995)	(32, 44.9948)	(33, 44.776500000000006)	(34, 44.9847)	(35, 45.1048)	(36, 44.8602)	(37, 45.2558)	(38, 45.2353)	(39, 45.0582)	(40, 45.3227)	(41, 45.277)	(42, 45.1011)	(43, 45.264500000000005)	(44, 45.2677)	(45, 44.9247)	(46, 45.0741)	(47, 45.0263)	(48, 44.8237)	(49, 45.1217)	(50, 45.0948)	(51, 45.0028)	(52, 45.2199)	(53, 45.238)	(54, 45.0136)	(55, 45.1275)	(56, 45.0986)	(57, 44.87)	(58, 45.068200000000004)	(59, 45.1207)	(60, 44.878)	(61, 45.1803)	(62, 45.1985)	(63, 44.9808)	(64, 45.1412)	(65, 45.1003)	(66, 44.8828)	(67, 45.0664)	(68, 45.0901)	(69, 44.8739)	(70, 45.135999999999996)	(71, 45.088699999999996)	(72, 44.8934)	(73, 45.1724)	(74, 45.1316)	(75, 44.9867)	(76, 45.1488)	(77, 45.0737)	(78, 44.8611)	(79, 45.0559)	(80, 45.0023)	(81, 44.8784)	(82, 45.083400000000005)	(83, 45.0382)	(84, 44.9086)	(85, 45.096000000000004)	(86, 45.0802)	(87, 44.892900000000004)	(88, 45.0076)	(89, 45.0366)	(90, 44.804)	(91, 45.0167)	(92, 44.9935)	(93, 44.8225)	(94, 45.0283)	(95, 44.988299999999995)	(96, 44.8821)	(97, 45.002700000000004)	(98, 44.981700000000004)	(99, 44.793)	(100, 44.9707)	(101, 45.0846)
SRR5936197	(1, 64.2691)	(2, 36.9036)	(3, 39.0961)	(4, 38.9027)	(5, 26.4126)	(6, 38.8694)	(7, 40.123799999999996)	(8, 40.041199999999996)	(9, 58.930899999999994)	(10, 39.9303)	(11, 49.052)	(12, 41.7523)	(13, 49.5325)	(14, 50.92)	(15, 47.4018)	(16, 45.1471)	(17, 43.073)	(18, 43.158)	(19, 44.033699999999996)	(20, 44.4929)	(21, 44.4352)	(22, 44.696000000000005)	(23, 44.7117)	(24, 44.5711)	(25, 44.96)	(26, 44.8352)	(27, 44.6901)	(28, 44.9998)	(29, 44.8752)	(30, 44.7733)	(31, 44.916)	(32, 44.7135)	(33, 44.523)	(34, 44.7818)	(35, 44.7824)	(36, 44.5429)	(37, 45.0134)	(38, 44.9332)	(39, 44.804300000000005)	(40, 45.1081)	(41, 44.9296)	(42, 44.874)	(43, 45.036500000000004)	(44, 44.900600000000004)	(45, 44.7027)	(46, 44.828)	(47, 44.690400000000004)	(48, 44.5092)	(49, 44.8406)	(50, 44.7542)	(51, 44.718599999999995)	(52, 44.962999999999994)	(53, 44.8601)	(54, 44.7192)	(55, 44.897)	(56, 44.7615)	(57, 44.5672)	(58, 44.8102)	(59, 44.7077)	(60, 44.6356)	(61, 44.9587)	(62, 44.7953)	(63, 44.6881)	(64, 44.8898)	(65, 44.731300000000005)	(66, 44.568400000000004)	(67, 44.833800000000004)	(68, 44.7309)	(69, 44.557900000000004)	(70, 44.8623)	(71, 44.6787)	(72, 44.5867)	(73, 44.9021)	(74, 44.8021)	(75, 44.6879)	(76, 44.8818)	(77, 44.7074)	(78, 44.5936)	(79, 44.7598)	(80, 44.6502)	(81, 44.486799999999995)	(82, 44.7878)	(83, 44.661699999999996)	(84, 44.5963)	(85, 44.8167)	(86, 44.699600000000004)	(87, 44.5963)	(88, 44.7795)	(89, 44.6589)	(90, 44.5239)	(91, 44.728899999999996)	(92, 44.6183)	(93, 44.532500000000006)	(94, 44.7604)	(95, 44.6402)	(96, 44.6108)	(97, 44.7613)	(98, 44.6666)	(99, 44.5093)	(100, 44.6916)	(101, 44.588499999999996)
SRR5936221	(1, 65.2316)	(2, 37.662099999999995)	(3, 39.2709)	(4, 38.8281)	(5, 26.148500000000002)	(6, 38.9385)	(7, 40.3425)	(8, 40.9254)	(9, 60.203399999999995)	(10, 39.3762)	(11, 49.5392)	(12, 41.707699999999996)	(13, 49.5831)	(14, 51.0625)	(15, 47.3063)	(16, 45.2063)	(17, 43.1901)	(18, 43.1192)	(19, 43.986999999999995)	(20, 44.5433)	(21, 44.3625)	(22, 44.7258)	(23, 44.7476)	(24, 44.5753)	(25, 44.9446)	(26, 44.869)	(27, 44.7237)	(28, 44.9552)	(29, 44.9709)	(30, 44.7525)	(31, 44.8495)	(32, 44.8303)	(33, 44.5215)	(34, 44.8224)	(35, 44.8267)	(36, 44.5916)	(37, 45.0321)	(38, 45.0268)	(39, 44.8623)	(40, 45.1375)	(41, 45.033)	(42, 44.8578)	(43, 45.0143)	(44, 45.01)	(45, 44.6894)	(46, 44.8556)	(47, 44.8361)	(48, 44.5981)	(49, 44.875)	(50, 44.9586)	(51, 44.7419)	(52, 44.9845)	(53, 44.9409)	(54, 44.6901)	(55, 44.898700000000005)	(56, 44.9024)	(57, 44.601800000000004)	(58, 44.8472)	(59, 44.8311)	(60, 44.6484)	(61, 45.0512)	(62, 44.954100000000004)	(63, 44.7761)	(64, 44.9291)	(65, 44.8972)	(66, 44.649)	(67, 44.9046)	(68, 44.84)	(69, 44.654500000000006)	(70, 44.8899)	(71, 44.8896)	(72, 44.6477)	(73, 44.9897)	(74, 44.9562)	(75, 44.7521)	(76, 44.9175)	(77, 44.8404)	(78, 44.5852)	(79, 44.8487)	(80, 44.8091)	(81, 44.6006)	(82, 44.8431)	(83, 44.8148)	(84, 44.667699999999996)	(85, 44.892900000000004)	(86, 44.8624)	(87, 44.649)	(88, 44.8548)	(89, 44.8177)	(90, 44.6081)	(91, 44.8117)	(92, 44.7617)	(93, 44.6293)	(94, 44.863)	(95, 44.8284)	(96, 44.658500000000004)	(97, 44.8143)	(98, 44.817800000000005)	(99, 44.5728)	(100, 44.7703)	(101, 44.7495)
SRR5946623	(1, 63.9271)	(2, 36.920199999999994)	(3, 37.927699999999994)	(4, 37.4454)	(5, 25.093700000000002)	(6, 37.3581)	(7, 38.98)	(8, 39.8835)	(9, 59.087999999999994)	(10, 38.589)	(11, 47.6771)	(12, 40.2945)	(13, 48.4504)	(14, 49.6401)	(15, 46.2557)	(16, 44.0739)	(17, 42.0801)	(18, 42.0319)	(19, 43.0062)	(20, 43.5155)	(21, 43.304700000000004)	(22, 43.7581)	(23, 43.7127)	(24, 43.54)	(25, 44.0616)	(26, 43.823499999999996)	(27, 43.6652)	(28, 44.0379)	(29, 43.9607)	(30, 43.7604)	(31, 43.9654)	(32, 43.7805)	(33, 43.4953)	(34, 43.8942)	(35, 43.8689)	(36, 43.609500000000004)	(37, 44.1436)	(38, 44.0048)	(39, 43.8821)	(40, 44.1801)	(41, 44.0359)	(42, 43.8326)	(43, 44.1327)	(44, 44.0448)	(45, 43.6546)	(46, 43.9703)	(47, 43.8214)	(48, 43.6363)	(49, 44.061099999999996)	(50, 44.0241)	(51, 43.8474)	(52, 44.0895)	(53, 44.0021)	(54, 43.8269)	(55, 44.0902)	(56, 43.980999999999995)	(57, 43.6596)	(58, 43.994699999999995)	(59, 43.9526)	(60, 43.7936)	(61, 44.2378)	(62, 44.0518)	(63, 43.8603)	(64, 44.0651)	(65, 44.080799999999996)	(66, 43.7858)	(67, 44.0482)	(68, 43.9674)	(69, 43.777899999999995)	(70, 44.0774)	(71, 44.0303)	(72, 43.7991)	(73, 44.208999999999996)	(74, 44.0251)	(75, 43.8673)	(76, 44.0758)	(77, 43.9697)	(78, 43.7003)	(79, 44.1037)	(80, 43.9794)	(81, 43.7278)	(82, 44.0516)	(83, 43.944100000000006)	(84, 43.817299999999996)	(85, 44.1185)	(86, 44.0285)	(87, 43.8332)	(88, 44.091)	(89, 43.994)	(90, 43.694300000000005)	(91, 44.0651)	(92, 43.9103)	(93, 43.7603)	(94, 44.1228)	(95, 43.9693)	(96, 43.822100000000006)	(97, 44.142900000000004)	(98, 44.0345)	(99, 43.769000000000005)	(100, 44.0141)	(101, 44.1643)
SRR5946691	(1, 64.13069999999999)	(2, 36.9492)	(3, 38.1543)	(4, 37.8042)	(5, 25.174000000000003)	(6, 37.877100000000006)	(7, 39.289)	(8, 40.0658)	(9, 59.7584)	(10, 38.6921)	(11, 48.7016)	(12, 41.0754)	(13, 49.0571)	(14, 50.6034)	(15, 46.9166)	(16, 44.594699999999996)	(17, 42.7085)	(18, 42.6513)	(19, 43.5004)	(20, 44.1496)	(21, 43.9512)	(22, 44.263999999999996)	(23, 44.3849)	(24, 44.1666)	(25, 44.4847)	(26, 44.5139)	(27, 44.307900000000004)	(28, 44.5578)	(29, 44.5861)	(30, 44.3617)	(31, 44.440400000000004)	(32, 44.4447)	(33, 44.127)	(34, 44.352799999999995)	(35, 44.5248)	(36, 44.1917)	(37, 44.5995)	(38, 44.661699999999996)	(39, 44.466499999999996)	(40, 44.7218)	(41, 44.6483)	(42, 44.4791)	(43, 44.612)	(44, 44.6743)	(45, 44.2674)	(46, 44.464)	(47, 44.4423)	(48, 44.211600000000004)	(49, 44.481500000000004)	(50, 44.5396)	(51, 44.3358)	(52, 44.5287)	(53, 44.5783)	(54, 44.3133)	(55, 44.479600000000005)	(56, 44.497)	(57, 44.1971)	(58, 44.3932)	(59, 44.477)	(60, 44.2429)	(61, 44.5422)	(62, 44.5514)	(63, 44.3291)	(64, 44.466)	(65, 44.5193)	(66, 44.2432)	(67, 44.3812)	(68, 44.4778)	(69, 44.1828)	(70, 44.419799999999995)	(71, 44.433299999999996)	(72, 44.2285)	(73, 44.4658)	(74, 44.487500000000004)	(75, 44.298700000000004)	(76, 44.3914)	(77, 44.3926)	(78, 44.1464)	(79, 44.3382)	(80, 44.373400000000004)	(81, 44.0783)	(82, 44.3382)	(83, 44.3679)	(84, 44.177499999999995)	(85, 44.3536)	(86, 44.3832)	(87, 44.1204)	(88, 44.312200000000004)	(89, 44.3446)	(90, 44.089)	(91, 44.2934)	(92, 44.317499999999995)	(93, 44.1085)	(94, 44.2924)	(95, 44.317)	(96, 44.1236)	(97, 44.230599999999995)	(98, 44.3074)	(99, 44.0328)	(100, 44.1164)	(101, 44.2383)
SRR5946876	(1, 65.96940000000001)	(2, 38.9905)	(3, 40.4488)	(4, 40.601)	(5, 27.999800000000004)	(6, 40.9213)	(7, 42.5352)	(8, 42.573499999999996)	(9, 60.590900000000005)	(10, 41.058699999999995)	(11, 50.7271)	(12, 43.4876)	(13, 50.931599999999996)	(14, 52.2764)	(15, 48.6155)	(16, 46.665099999999995)	(17, 44.791399999999996)	(18, 44.6713)	(19, 45.732)	(20, 46.1284)	(21, 45.939099999999996)	(22, 46.455600000000004)	(23, 46.3553)	(24, 46.1625)	(25, 46.663399999999996)	(26, 46.4455)	(27, 46.252500000000005)	(28, 46.6905)	(29, 46.5262)	(30, 46.2925)	(31, 46.6483)	(32, 46.4183)	(33, 46.123999999999995)	(34, 46.5408)	(35, 46.4864)	(36, 46.219500000000004)	(37, 46.6944)	(38, 46.5903)	(39, 46.3662)	(40, 46.785399999999996)	(41, 46.5806)	(42, 46.3834)	(43, 46.7729)	(44, 46.614)	(45, 46.3092)	(46, 46.5982)	(47, 46.3871)	(48, 46.096399999999996)	(49, 46.5585)	(50, 46.5079)	(51, 46.2697)	(52, 46.6588)	(53, 46.5047)	(54, 46.2541)	(55, 46.6152)	(56, 46.3972)	(57, 46.12)	(58, 46.5225)	(59, 46.4181)	(60, 46.1505)	(61, 46.5925)	(62, 46.4114)	(63, 46.2015)	(64, 46.542699999999996)	(65, 46.3611)	(66, 46.1019)	(67, 46.4503)	(68, 46.3098)	(69, 46.0694)	(70, 46.4062)	(71, 46.314)	(72, 46.0075)	(73, 46.4414)	(74, 46.333)	(75, 46.0653)	(76, 46.4337)	(77, 46.2367)	(78, 46.002500000000005)	(79, 46.361599999999996)	(80, 46.1415)	(81, 45.9277)	(82, 46.3104)	(83, 46.116099999999996)	(84, 45.9035)	(85, 46.276)	(86, 46.1314)	(87, 45.914100000000005)	(88, 46.2596)	(89, 46.1126)	(90, 45.8675)	(91, 46.1904)	(92, 45.9918)	(93, 45.8242)	(94, 46.1966)	(95, 45.9992)	(96, 45.8364)	(97, 46.1336)	(98, 46.0355)	(99, 45.6921)	(100, 46.061800000000005)	(101, 46.2277)
SRR5946902	(1, 64.64410000000001)	(2, 37.4765)	(3, 39.7437)	(4, 39.4038)	(5, 27.125799999999998)	(6, 39.3741)	(7, 40.7585)	(8, 40.775)	(9, 59.1499)	(10, 40.6502)	(11, 49.406)	(12, 42.1257)	(13, 49.754)	(14, 51.10940000000001)	(15, 47.7399)	(16, 45.4801)	(17, 43.4969)	(18, 43.5475)	(19, 44.4076)	(20, 44.8544)	(21, 44.7458)	(22, 45.0922)	(23, 45.080999999999996)	(24, 44.9548)	(25, 45.3699)	(26, 45.216899999999995)	(27, 45.0619)	(28, 45.3953)	(29, 45.2263)	(30, 45.116)	(31, 45.2773)	(32, 45.0714)	(33, 44.8452)	(34, 45.1759)	(35, 45.1125)	(36, 44.9438)	(37, 45.360099999999996)	(38, 45.2617)	(39, 45.1615)	(40, 45.4749)	(41, 45.3143)	(42, 45.2749)	(43, 45.4032)	(44, 45.2487)	(45, 45.0086)	(46, 45.2101)	(47, 45.0642)	(48, 44.891999999999996)	(49, 45.210899999999995)	(50, 45.0864)	(51, 45.0407)	(52, 45.3561)	(53, 45.2247)	(54, 45.0693)	(55, 45.2346)	(56, 45.0929)	(57, 44.9529)	(58, 45.2065)	(59, 45.0823)	(60, 44.9844)	(61, 45.3217)	(62, 45.2066)	(63, 45.033899999999996)	(64, 45.2731)	(65, 45.1261)	(66, 44.932)	(67, 45.2062)	(68, 45.0868)	(69, 44.9317)	(70, 45.2471)	(71, 45.0737)	(72, 44.9561)	(73, 45.3243)	(74, 45.152)	(75, 45.0417)	(76, 45.2789)	(77, 45.0512)	(78, 44.9642)	(79, 45.1927)	(80, 44.9905)	(81, 44.9336)	(82, 45.2278)	(83, 45.0405)	(84, 44.959500000000006)	(85, 45.212799999999994)	(86, 45.0961)	(87, 44.9872)	(88, 45.2594)	(89, 45.0445)	(90, 44.8909)	(91, 45.1768)	(92, 45.0304)	(93, 44.9493)	(94, 45.185900000000004)	(95, 45.1062)	(96, 45.0088)	(97, 45.187)	(98, 45.087500000000006)	(99, 44.940400000000004)	(100, 45.1194)	(101, 45.142900000000004)
SRR5946910	(1, 65.2834)	(2, 37.4154)	(3, 38.815)	(4, 38.4795)	(5, 25.4873)	(6, 38.406400000000005)	(7, 39.6455)	(8, 40.281099999999995)	(9, 60.492599999999996)	(10, 38.8853)	(11, 49.4098)	(12, 41.4591)	(13, 49.6167)	(14, 51.22259999999999)	(15, 47.4634)	(16, 45.2581)	(17, 43.2705)	(18, 43.196)	(19, 44.0732)	(20, 44.6752)	(21, 44.5326)	(22, 44.8078)	(23, 44.9208)	(24, 44.6994)	(25, 45.029799999999994)	(26, 45.0378)	(27, 44.8446)	(28, 45.0933)	(29, 45.124900000000004)	(30, 44.8643)	(31, 44.9581)	(32, 44.9364)	(33, 44.6313)	(34, 44.884299999999996)	(35, 45.0338)	(36, 44.724599999999995)	(37, 45.147999999999996)	(38, 45.1455)	(39, 44.9608)	(40, 45.224199999999996)	(41, 45.185900000000004)	(42, 44.9672)	(43, 45.1037)	(44, 45.1514)	(45, 44.763999999999996)	(46, 44.9591)	(47, 44.964)	(48, 44.72)	(49, 44.992599999999996)	(50, 45.0494)	(51, 44.8409)	(52, 45.048700000000004)	(53, 45.0989)	(54, 44.799299999999995)	(55, 44.9912)	(56, 44.9942)	(57, 44.6657)	(58, 44.9181)	(59, 44.9652)	(60, 44.749100000000006)	(61, 45.047599999999996)	(62, 45.0568)	(63, 44.8343)	(64, 44.975500000000004)	(65, 45.001200000000004)	(66, 44.731700000000004)	(67, 44.8928)	(68, 44.952999999999996)	(69, 44.6417)	(70, 44.898900000000005)	(71, 44.9276)	(72, 44.6991)	(73, 44.932100000000005)	(74, 44.9675)	(75, 44.766)	(76, 44.885799999999996)	(77, 44.8578)	(78, 44.6122)	(79, 44.855000000000004)	(80, 44.8289)	(81, 44.5994)	(82, 44.8367)	(83, 44.857200000000006)	(84, 44.6591)	(85, 44.807)	(86, 44.8342)	(87, 44.5864)	(88, 44.7875)	(89, 44.845600000000005)	(90, 44.528600000000004)	(91, 44.7213)	(92, 44.7796)	(93, 44.568999999999996)	(94, 44.770199999999996)	(95, 44.7752)	(96, 44.5839)	(97, 44.6755)	(98, 44.7823)	(99, 44.4989)	(100, 44.6398)	(101, 44.8226)
SRR5946975	(1, 65.089)	(2, 38.0368)	(3, 39.5959)	(4, 38.8345)	(5, 26.3455)	(6, 39.0055)	(7, 40.609)	(8, 41.3653)	(9, 60.417)	(10, 40.0396)	(11, 49.709599999999995)	(12, 42.181400000000004)	(13, 50.1154)	(14, 51.5795)	(15, 48.1542)	(16, 45.8773)	(17, 43.938)	(18, 43.8637)	(19, 44.8378)	(20, 45.348)	(21, 45.2115)	(22, 45.5994)	(23, 45.5916)	(24, 45.4358)	(25, 45.8302)	(26, 45.7663)	(27, 45.602)	(28, 45.8746)	(29, 45.9052)	(30, 45.686)	(31, 45.854099999999995)	(32, 45.7444)	(33, 45.4574)	(34, 45.7616)	(35, 45.772800000000004)	(36, 45.492)	(37, 45.9521)	(38, 45.946999999999996)	(39, 45.7882)	(40, 46.057500000000005)	(41, 45.9983)	(42, 45.7831)	(43, 45.9845)	(44, 45.929700000000004)	(45, 45.6313)	(46, 45.8598)	(47, 45.8134)	(48, 45.6104)	(49, 45.9405)	(50, 45.8917)	(51, 45.7652)	(52, 46.010600000000004)	(53, 45.9709)	(54, 45.7267)	(55, 45.9196)	(56, 45.860299999999995)	(57, 45.6465)	(58, 45.926)	(59, 45.897)	(60, 45.6999)	(61, 46.036500000000004)	(62, 45.9534)	(63, 45.7896)	(64, 46.0063)	(65, 45.928999999999995)	(66, 45.682)	(67, 45.9312)	(68, 45.8964)	(69, 45.675399999999996)	(70, 45.9416)	(71, 45.920899999999996)	(72, 45.7827)	(73, 46.064)	(74, 45.994099999999996)	(75, 45.7941)	(76, 45.9639)	(77, 45.934000000000005)	(78, 45.6851)	(79, 45.939)	(80, 45.8743)	(81, 45.693400000000004)	(82, 45.948699999999995)	(83, 45.8626)	(84, 45.7041)	(85, 45.9765)	(86, 45.9279)	(87, 45.7393)	(88, 46.0008)	(89, 45.9135)	(90, 45.688)	(91, 45.945)	(92, 45.8532)	(93, 45.7489)	(94, 45.946999999999996)	(95, 45.8779)	(96, 45.7982)	(97, 45.954299999999996)	(98, 45.9537)	(99, 45.6847)	(100, 45.892500000000005)	(101, 46.264)
SRR5946993	(1, 66.824)	(2, 40.149699999999996)	(3, 42.8)	(4, 42.194700000000005)	(5, 28.8417)	(6, 41.9739)	(7, 43.7097)	(8, 43.363800000000005)	(9, 62.4687)	(10, 42.957699999999996)	(11, 52.817)	(12, 45.1529)	(13, 53.4073)	(14, 54.5746)	(15, 51.4199)	(16, 48.9948)	(17, 46.8298)	(18, 47.0406)	(19, 48.0707)	(20, 48.2066)	(21, 48.3259)	(22, 48.6809)	(23, 48.4441)	(24, 48.5023)	(25, 48.9223)	(26, 48.5772)	(27, 48.673)	(28, 49.024)	(29, 48.641600000000004)	(30, 48.6817)	(31, 48.9317)	(32, 48.5064)	(33, 48.451699999999995)	(34, 48.788399999999996)	(35, 48.5357)	(36, 48.517500000000005)	(37, 49.038)	(38, 48.721199999999996)	(39, 48.77)	(40, 49.0987)	(41, 48.7238)	(42, 48.7431)	(43, 49.0118)	(44, 48.6689)	(45, 48.592)	(46, 48.8253)	(47, 48.4771)	(48, 48.5004)	(49, 48.9079)	(50, 48.598400000000005)	(51, 48.6874)	(52, 49.0061)	(53, 48.6843)	(54, 48.606700000000004)	(55, 48.8589)	(56, 48.4996)	(57, 48.5017)	(58, 48.8543)	(59, 48.5111)	(60, 48.572500000000005)	(61, 48.9359)	(62, 48.6196)	(63, 48.652)	(64, 48.9205)	(65, 48.5494)	(66, 48.523300000000006)	(67, 48.8005)	(68, 48.4672)	(69, 48.4684)	(70, 48.8147)	(71, 48.4831)	(72, 48.5147)	(73, 48.8994)	(74, 48.5699)	(75, 48.566700000000004)	(76, 48.8055)	(77, 48.4121)	(78, 48.4773)	(79, 48.757600000000004)	(80, 48.4144)	(81, 48.3977)	(82, 48.7847)	(83, 48.4277)	(84, 48.4946)	(85, 48.7975)	(86, 48.4136)	(87, 48.451)	(88, 48.7267)	(89, 48.4177)	(90, 48.3696)	(91, 48.6558)	(92, 48.3528)	(93, 48.3507)	(94, 48.6892)	(95, 48.299)	(96, 48.4257)	(97, 48.676)	(98, 48.3284)	(99, 48.3506)	(100, 48.6177)	(101, 49.082300000000004)
