Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5936131	(1, 0.0363228)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 1.46611e-05)	(21, 3.66527e-06)	(22, 0.0)	(23, 7.33054e-06)	(24, 0.000150276)	(25, 0.00024190800000000002)	(26, 3.66527e-06)	(27, 0.0)	(28, 4.03179e-05)	(29, 1.46611e-05)	(30, 0.0)	(31, 4.03179e-05)	(32, 0.0)	(33, 0.0)	(34, 9.89622e-05)	(35, 0.000381188)	(36, 0.000256569)	(37, 8.79665e-05)	(38, 0.00023091200000000003)	(39, 3.66527e-06)	(40, 7.33055e-06)	(41, 0.0)	(42, 0.0)	(43, 0.000293222)	(44, 9.529740000000001e-05)	(45, 1.8326399999999998e-05)	(46, 0.000201591)	(47, 0.000296889)	(48, 0.000263901)	(49, 4.39835e-05)	(50, 3.6653e-06)	(51, 0.000195421)	(52, 0.000252232)	(53, 0.00040297)	(54, 0.00019891199999999998)	(55, 6.0401199999999994e-05)	(56, 0.000193672)	(57, 0.000160462)	(58, 7.68817e-06)	(59, 0.0)	(60, 8.17414e-05)	(61, 0.000399583)	(62, 1.57689e-05)	(63, 8.72757e-05)	(64, 4.79051e-05)	(65, 2.8119e-05)	(66, 0.000101055)	(67, 0.0)	(68, 2.86589e-05)	(69, 0.0)	(70, 7.05225e-05)	(71, 0.000121111)	(72, 0.0)	(73, 0.0)	(74, 0.000247109)	(75, 0.00022301500000000002)	(76, 4.74872e-05)	(77, 1.30374e-05)	(78, 0.000109377)	(79, 6.607870000000001e-05)	(80, 0.000212934)	(81, 0.0)	(82, 0.0)	(83, 9.969389999999999e-05)	(84, 0.0)	(85, 0.000376882)	(86, 9.2576e-06)	(87, 0.000494142)	(88, 0.00046955)	(89, 3.7836299999999996e-05)	(90, 0.0)	(91, 0.00019201200000000003)	(92, 8.706689999999999e-05)	(93, 7.31219e-05)	(94, 0.000280027)	(95, 5.4467699999999994e-05)	(96, 1.49764e-05)	(97, 0.000120822)	(98, 4.57342e-05)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5936197	(1, 0.000800381)	(2, 0.00121897)	(3, 0.0021573499999999997)	(4, 0.00243334)	(5, 0.00215275)	(6, 0.0008785790000000001)	(7, 1.37997e-05)	(8, 4.59989e-06)	(9, 0.00039558999999999997)	(10, 1.37997e-05)	(11, 0.0)	(12, 0.0)	(13, 0.000151796)	(14, 0.0)	(15, 0.000367991)	(16, 0.00017019599999999998)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 4.59989e-06)	(21, 0.0)	(22, 0.000326592)	(23, 1.83996e-05)	(24, 2.29994e-05)	(25, 0.000211595)	(26, 0.0)	(27, 3.67991e-05)	(28, 0.0)	(29, 0.0)	(30, 4.59989e-06)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 6.43984e-05)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 5.059900000000001e-05)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 3.2604199999999995e-05)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 4.90543e-06)	(61, 0.0)	(62, 0.0)	(63, 0.000105147)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5936221	(1, 0.039671)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 2.5784300000000003e-05)	(21, 0.0)	(22, 0.0)	(23, 1.10504e-05)	(24, 0.000257843)	(25, 0.00029099400000000004)	(26, 0.0)	(27, 0.0)	(28, 5.1568600000000006e-05)	(29, 1.8417399999999998e-05)	(30, 0.0)	(31, 1.8417399999999998e-05)	(32, 0.0)	(33, 0.0)	(34, 0.000151022)	(35, 0.00043464999999999997)	(36, 0.00026889300000000003)	(37, 8.10364e-05)	(38, 0.00021732499999999998)	(39, 0.0)	(40, 1.47339e-05)	(41, 0.0)	(42, 0.0)	(43, 0.000287313)	(44, 0.000191542)	(45, 3.31515e-05)	(46, 0.000202593)	(47, 0.000335199)	(48, 0.00038308499999999997)	(49, 6.99867e-05)	(50, 3.68351e-06)	(51, 0.000240835)	(52, 0.000294447)	(53, 0.000513626)	(54, 0.000241349)	(55, 5.3109e-05)	(56, 0.00019462800000000002)	(57, 0.000322505)	(58, 0.0)	(59, 0.0)	(60, 0.000105621)	(61, 0.00040945600000000005)	(62, 3.96221e-06)	(63, 0.000127592)	(64, 5.61766e-05)	(65, 2.01885e-05)	(66, 8.9391e-05)	(67, 0.0)	(68, 2.88101e-05)	(69, 0.0)	(70, 8.34081e-05)	(71, 0.000109161)	(72, 4.22697e-06)	(73, 0.0)	(74, 0.00020134500000000002)	(75, 0.000280323)	(76, 6.94611e-05)	(77, 1.31113e-05)	(78, 0.000123203)	(79, 0.000101903)	(80, 0.000214169)	(81, 0.0)	(82, 0.0)	(83, 8.66141e-05)	(84, 0.0)	(85, 0.000434661)	(86, 4.657e-06)	(87, 0.000497168)	(88, 0.00066138)	(89, 5.2347799999999994e-05)	(90, 0.0)	(91, 0.000178749)	(92, 0.000126573)	(93, 6.37811e-05)	(94, 0.000257114)	(95, 6.47899e-05)	(96, 5.0248199999999994e-06)	(97, 0.00010134699999999999)	(98, 2.04597e-05)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5946623	(1, 0.00833012)	(2, 0.0)	(3, 0.0005431359999999999)	(4, 0.000268517)	(5, 0.0)	(6, 0.0017331500000000001)	(7, 0.0)	(8, 0.0)	(9, 0.00030513299999999997)	(10, 0.0)	(11, 0.0)	(12, 0.00103745)	(13, 0.00397283)	(14, 7.32318e-05)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 7.32318e-05)	(19, 0.0)	(20, 0.00039056999999999997)	(21, 0.0)	(22, 3.05133e-05)	(23, 0.000628573)	(24, 0.000140361)	(25, 0.000677394)	(26, 0.0)	(27, 0.00106186)	(28, 0.00010374499999999999)	(29, 0.000518726)	(30, 0.0005370329999999999)	(31, 0.0008055499999999999)	(32, 0.0)	(33, 0.00010984800000000001)	(34, 0.00216034)	(35, 4.882119999999999e-05)	(36, 0.00142192)	(37, 6.10266e-06)	(38, 0.000140361)	(39, 0.000720114)	(40, 0.000323441)	(41, 0.00014646399999999999)	(42, 0.00108628)	(43, 0.00111679)	(44, 0.000189183)	(45, 0.00040888)	(46, 0.000640782)	(47, 0.00269128)	(48, 0.0018308099999999998)	(49, 6.10269e-06)	(50, 0.0036799299999999997)	(51, 0.00211374)	(52, 0.00270653)	(53, 0.000975814)	(54, 9.301430000000001e-05)	(55, 0.0036985)	(56, 0.000212591)	(57, 0.00043332500000000003)	(58, 0.00471242)	(59, 0.000722438)	(60, 7.640320000000001e-05)	(61, 0.00136263)	(62, 0.000469259)	(63, 0.0019248800000000001)	(64, 0.00642561)	(65, 0.000971789)	(66, 0.0010683700000000001)	(67, 0.00016469)	(68, 0.000132433)	(69, 0.0)	(70, 0.00178041)	(71, 0.000545135)	(72, 6.76782e-06)	(73, 0.000326675)	(74, 0.00353146)	(75, 0.0009290720000000001)	(76, 0.000193782)	(77, 0.0010231700000000001)	(78, 0.0)	(79, 0.0017044599999999999)	(80, 0.000630668)	(81, 0.0017967900000000001)	(82, 0.0)	(83, 0.000353775)	(84, 0.000268821)	(85, 0.000233956)	(86, 0.000625337)	(87, 0.00114755)	(88, 0.0005215949999999999)	(89, 0.0027525)	(90, 0.000619075)	(91, 0.000699308)	(92, 0.00205872)	(93, 0.000138708)	(94, 0.0007370990000000001)	(95, 0.0007499070000000001)	(96, 2.35956e-05)	(97, 7.919929999999999e-06)	(98, 0.000590249)	(99, 1.6073599999999998e-05)	(100, 0.0)	(101, 0.0)
SRR5946691	(1, 0.0188328)	(2, 4.72001e-05)	(3, 0.0)	(4, 4.72001e-05)	(5, 8.581829999999999e-05)	(6, 0.00040763700000000003)	(7, 9.01092e-05)	(8, 0.0)	(9, 0.0)	(10, 8.58183e-06)	(11, 0.0)	(12, 2.57455e-05)	(13, 0.0)	(14, 0.000124437)	(15, 0.0)	(16, 6.007279999999999e-05)	(17, 5.5781899999999995e-05)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.000248873)	(22, 0.0)	(23, 4.29092e-06)	(24, 0.000244582)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.000437673)	(29, 0.00039476400000000003)	(30, 0.00136022)	(31, 0.0010684400000000001)	(32, 0.000356146)	(33, 0.000240291)	(34, 0.000532074)	(35, 0.0001416)	(36, 0.00105127)	(37, 0.000124437)	(38, 0.000163055)	(39, 4.29092e-06)	(40, 3.00365e-05)	(41, 0.00051062)	(42, 8.58186e-06)	(43, 0.000926841)	(44, 0.00272903)	(45, 1.71638e-05)	(46, 0.0006522230000000001)	(47, 0.000201674)	(48, 0.0005578229999999999)	(49, 0.000514914)	(50, 0.00111136)	(51, 0.000949357)	(52, 0.0011848000000000002)	(53, 0.000357863)	(54, 0.00148336)	(55, 0.0021096)	(56, 0.000377282)	(57, 0.000330377)	(58, 0.000983539)	(59, 0.00083586)	(60, 0.000600055)	(61, 0.000475702)	(62, 0.000193291)	(63, 0.000759328)	(64, 0.0026318599999999998)	(65, 0.00016401)	(66, 0.000367715)	(67, 2.37166e-05)	(68, 0.00039137899999999997)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 7.83581e-05)	(73, 9.365319999999999e-05)	(74, 0.0)	(75, 2.49653e-05)	(76, 1.00506e-05)	(77, 7.58738e-05)	(78, 0.000295331)	(79, 5.12632e-06)	(80, 0.0)	(81, 0.000150736)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.000699428)	(88, 0.0)	(89, 8.801579999999999e-05)	(90, 0.000132999)	(91, 0.00010608900000000001)	(92, 2.8130800000000002e-05)	(93, 0.000691696)	(94, 0.000365668)	(95, 0.00011517500000000001)	(96, 5.8051000000000005e-06)	(97, 0.000111228)	(98, 0.000200893)	(99, 2.39194e-05)	(100, 0.0)	(101, 0.0)
SRR5946876	(1, 0.028364900000000002)	(2, 0.00440633)	(3, 0.000753657)	(4, 0.000608065)	(5, 0.000248364)	(6, 0.00167432)	(7, 0.000903533)	(8, 0.0)	(9, 8.136080000000001e-05)	(10, 0.000192697)	(11, 1.2846400000000001e-05)	(12, 8.56429e-06)	(13, 4.71036e-05)	(14, 0.000102771)	(15, 0.0)	(16, 8.56429e-05)	(17, 0.0)	(18, 0.000158439)	(19, 0.0)	(20, 2.14107e-05)	(21, 4.2821399999999995e-06)	(22, 0.0)	(23, 0.0)	(24, 0.000393957)	(25, 0.0003597)	(26, 0.00011561799999999999)	(27, 0.00032116100000000004)	(28, 6.42322e-05)	(29, 3.4257199999999994e-05)	(30, 0.00014559300000000001)	(31, 0.0)	(32, 5.1385700000000005e-05)	(33, 3.85393e-05)	(34, 0.0019483800000000002)	(35, 0.000141311)	(36, 0.000218389)	(37, 0.000355419)	(38, 2.5693e-05)	(39, 0.000171287)	(40, 4.28217e-06)	(41, 0.000329728)	(42, 0.000530991)	(43, 0.0)	(44, 0.0)	(45, 1.28466e-05)	(46, 0.0)	(47, 9.849080000000002e-05)	(48, 1.7128799999999998e-05)	(49, 0.000402528)	(50, 0.0)	(51, 0.0014832699999999999)	(52, 0.000308279)	(53, 0.00010930899999999999)	(54, 5.72383e-05)	(55, 1.3301400000000001e-05)	(56, 0.00120117)	(57, 0.000202383)	(58, 4.53064e-06)	(59, 2.28219e-05)	(60, 9.19801e-06)	(61, 0.000913001)	(62, 0.000182132)	(63, 0.0013740199999999999)	(64, 0.000384032)	(65, 0.00021496799999999998)	(66, 0.00103491)	(67, 0.000247388)	(68, 0.00120272)	(69, 0.000133057)	(70, 0.000382526)	(71, 0.0014774699999999998)	(72, 0.00181788)	(73, 0.00129302)	(74, 0.000241206)	(75, 0.0015832600000000002)	(76, 0.000323451)	(77, 0.00204088)	(78, 0.000222769)	(79, 0.0007381999999999999)	(80, 0.0016455100000000002)	(81, 0.0)	(82, 0.000257979)	(83, 0.000387555)	(84, 0.000100508)	(85, 0.000287236)	(86, 0.00225532)	(87, 7.44973e-05)	(88, 0.0010869)	(89, 0.000443297)	(90, 1.76581e-05)	(91, 0.000730704)	(92, 0.00847269)	(93, 0.000387656)	(94, 0.0)	(95, 0.0)	(96, 1.87015e-05)	(97, 5.6688900000000005e-05)	(98, 0.00026124300000000003)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5946902	(1, 0.00090656)	(2, 0.00107412)	(3, 0.00218262)	(4, 0.00280131)	(5, 0.00227714)	(6, 0.0010655299999999999)	(7, 2.14825e-05)	(8, 4.2964900000000004e-06)	(9, 0.000455428)	(10, 1.28895e-05)	(11, 0.0)	(12, 0.0)	(13, 0.000227714)	(14, 0.0)	(15, 0.00041675999999999996)	(16, 0.00015897)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 4.2964900000000004e-06)	(21, 0.0)	(22, 0.000373795)	(23, 1.28895e-05)	(24, 4.2964900000000004e-06)	(25, 0.00026208599999999997)	(26, 4.2964900000000004e-06)	(27, 3.4371899999999995e-05)	(28, 0.0)	(29, 0.0)	(30, 4.2964900000000004e-06)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 6.01509e-05)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 9.452299999999999e-05)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 1.74414e-05)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.00010434600000000001)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 5.13961e-06)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5946910	(1, 0.017027399999999998)	(2, 3.5819000000000004e-05)	(3, 0.0)	(4, 3.13416e-05)	(5, 0.000102979)	(6, 0.00035819)	(7, 9.850210000000001e-05)	(8, 0.0)	(9, 0.0)	(10, 2.68642e-05)	(11, 0.0)	(12, 1.34321e-05)	(13, 0.0)	(14, 0.00012088899999999999)	(15, 0.0)	(16, 3.5819000000000004e-05)	(17, 6.71605e-05)	(18, 0.0)	(19, 4.47737e-06)	(20, 0.0)	(21, 0.000188049)	(22, 0.0)	(23, 0.0)	(24, 0.00020148199999999998)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.00039848600000000003)	(29, 0.00042087299999999994)	(30, 0.00124023)	(31, 0.00113277)	(32, 0.00034028)	(33, 0.000183572)	(34, 0.00043878200000000003)	(35, 0.000116412)	(36, 0.0009671119999999999)	(37, 0.000210437)	(38, 0.00027312)	(39, 0.0)	(40, 1.34321e-05)	(41, 0.00048355800000000003)	(42, 4.47739e-06)	(43, 0.000864137)	(44, 0.00266405)	(45, 1.34322e-05)	(46, 0.000595494)	(47, 0.000246257)	(48, 0.000523856)	(49, 0.000452218)	(50, 0.00103428)	(51, 0.000985588)	(52, 0.00115807)	(53, 0.000481971)	(54, 0.00136193)	(55, 0.0022096)	(56, 0.000309402)	(57, 0.000376068)	(58, 0.0008542560000000001)	(59, 0.000920022)	(60, 0.000509825)	(61, 0.000555478)	(62, 0.00021486)	(63, 0.0008546629999999999)	(64, 0.0024093200000000004)	(65, 0.00017478100000000002)	(66, 0.000439387)	(67, 1.47295e-05)	(68, 0.00045925800000000004)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 8.59849e-05)	(73, 5.08845e-05)	(74, 1.02382e-05)	(75, 2.05992e-05)	(76, 2.59036e-05)	(77, 8.8607e-05)	(78, 0.00030418599999999996)	(79, 1.0556e-05)	(80, 0.0)	(81, 0.00012833)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0006452669999999999)	(88, 0.0)	(89, 0.000107135)	(90, 8.517199999999999e-05)	(91, 0.000114367)	(92, 1.1519499999999999e-05)	(93, 0.000667168)	(94, 0.000379843)	(95, 0.00011184599999999999)	(96, 1.18618e-05)	(97, 0.000155411)	(98, 0.000168797)	(99, 1.2189499999999999e-05)	(100, 0.0)	(101, 0.0)
SRR5946975	(1, 0.00830082)	(2, 6.04576e-06)	(3, 0.000568301)	(4, 0.000284151)	(5, 0.0)	(6, 0.00165049)	(7, 0.0)	(8, 0.0)	(9, 0.000266013)	(10, 0.0)	(11, 0.0)	(12, 0.00105196)	(13, 0.0039841500000000005)	(14, 6.0457599999999995e-05)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 3.0228799999999998e-05)	(19, 0.0)	(20, 0.000332517)	(21, 0.0)	(22, 2.4183e-05)	(23, 0.00064085)	(24, 9.67321e-05)	(25, 0.000834314)	(26, 0.0)	(27, 0.000961275)	(28, 9.06864e-05)	(29, 0.000344608)	(30, 0.000634804)	(31, 0.000767811)	(32, 0.0)	(33, 8.46406e-05)	(34, 0.00207369)	(35, 8.46406e-05)	(36, 0.0013723899999999998)	(37, 6.04576e-06)	(38, 0.00022369300000000001)	(39, 0.000816179)	(40, 0.000411113)	(41, 0.000126961)	(42, 0.00116684)	(43, 0.000949189)	(44, 0.000278107)	(45, 0.000399023)	(46, 0.000852458)	(47, 0.00279316)	(48, 0.0019225700000000002)	(49, 3.62749e-05)	(50, 0.00370004)	(51, 0.00219609)	(52, 0.00282461)	(53, 0.0009407370000000001)	(54, 0.000104214)	(55, 0.00356837)	(56, 0.00018525)	(57, 0.00039051)	(58, 0.00461755)	(59, 0.000687296)	(60, 0.000112928)	(61, 0.00142383)	(62, 0.000525105)	(63, 0.00162645)	(64, 0.00680805)	(65, 0.000839434)	(66, 0.00113271)	(67, 0.000193946)	(68, 0.000181847)	(69, 0.0)	(70, 0.00173753)	(71, 0.0005732350000000001)	(72, 2.64877e-05)	(73, 0.000306134)	(74, 0.00356476)	(75, 0.0009410359999999999)	(76, 0.000141868)	(77, 0.0011271699999999998)	(78, 0.0)	(79, 0.00178428)	(80, 0.000552008)	(81, 0.00172775)	(82, 0.0)	(83, 0.000392985)	(84, 0.000268185)	(85, 0.00019163600000000002)	(86, 0.000528239)	(87, 0.00113437)	(88, 0.00045495999999999997)	(89, 0.00273882)	(90, 0.000672428)	(91, 0.000654531)	(92, 0.00213893)	(93, 6.70306e-05)	(94, 0.0007194889999999999)	(95, 0.000837194)	(96, 7.59012e-06)	(97, 0.0)	(98, 0.000576771)	(99, 7.74629e-06)	(100, 0.0)	(101, 0.0)
SRR5946993	(1, 0.015092900000000001)	(2, 3.67423e-05)	(3, 0.0)	(4, 2.8577299999999998e-05)	(5, 9.3897e-05)	(6, 0.000347011)	(7, 7.34846e-05)	(8, 0.0)	(9, 0.0)	(10, 8.16495e-06)	(11, 0.0)	(12, 2.04124e-05)	(13, 0.0)	(14, 0.000155134)	(15, 0.0)	(16, 4.4907199999999996e-05)	(17, 6.94021e-05)	(18, 0.0)	(19, 4.08248e-06)	(20, 0.0)	(21, 0.000183711)	(22, 0.0)	(23, 0.0)	(24, 0.00029802100000000004)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.000457237)	(29, 0.000547052)	(30, 0.0011757500000000001)	(31, 0.00130231)	(32, 0.00033476299999999997)	(33, 0.000179629)	(34, 0.000420495)	(35, 0.000138804)	(36, 0.00103695)	(37, 0.000195959)	(38, 0.000142887)	(39, 4.08249e-06)	(40, 1.633e-05)	(41, 0.00048173499999999995)	(42, 1.633e-05)	(43, 0.000914481)	(44, 0.00272712)	(45, 4.08251e-06)	(46, 0.000673615)	(47, 0.000216374)	(48, 0.000481738)	(49, 0.00046949100000000005)	(50, 0.00102063)	(51, 0.00105052)	(52, 0.00112195)	(53, 0.00032337699999999996)	(54, 0.00137512)	(55, 0.00217378)	(56, 0.000366296)	(57, 0.00031748000000000003)	(58, 0.0009704609999999999)	(59, 0.000663451)	(60, 0.000563906)	(61, 0.0005108539999999999)	(62, 0.00016545)	(63, 0.000775016)	(64, 0.00258025)	(65, 0.00021252699999999998)	(66, 0.000369563)	(67, 2.23909e-05)	(68, 0.00046394)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 5.5373699999999995e-05)	(73, 6.49946e-05)	(74, 9.34119e-06)	(75, 9.397890000000001e-06)	(76, 1.89099e-05)	(77, 0.000104646)	(78, 0.000272854)	(79, 2.40899e-05)	(80, 0.0)	(81, 0.000136698)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.000670968)	(88, 0.0)	(89, 8.76252e-05)	(90, 7.78687e-05)	(91, 0.000125497)	(92, 1.58035e-05)	(93, 0.00069522)	(94, 0.00026733299999999997)	(95, 5.92601e-05)	(96, 1.0859099999999999e-05)	(97, 9.85375e-05)	(98, 0.00020994)	(99, 1.6775300000000002e-05)	(100, 0.0)	(101, 0.0)
