Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5936131	(1, 0.0363336)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 1.4660999999999999e-05)	(21, 3.6652499999999998e-06)	(22, 0.0)	(23, 7.3304999999999995e-06)	(24, 0.000175932)	(25, 0.000249237)	(26, 3.6652499999999998e-06)	(27, 0.0)	(28, 4.0317799999999995e-05)	(29, 1.4660999999999999e-05)	(30, 0.0)	(31, 4.0317799999999995e-05)	(32, 0.0)	(33, 0.0)	(34, 9.89618e-05)	(35, 0.000381186)	(36, 0.000260233)	(37, 9.16313e-05)	(38, 0.00023091099999999999)	(39, 3.6652499999999998e-06)	(40, 1.0995799999999999e-05)	(41, 0.0)	(42, 0.0)	(43, 0.00029322)	(44, 0.000124619)	(45, 2.19915e-05)	(46, 0.000201589)	(47, 0.000296885)	(48, 0.00029322)	(49, 4.3983e-05)	(50, 3.6652499999999998e-06)	(51, 0.00019541600000000001)	(52, 0.000267059)	(53, 0.00040668)	(54, 0.000198899)	(55, 6.0396500000000004e-05)	(56, 0.00019365399999999997)	(57, 0.000191005)	(58, 7.68723e-06)	(59, 0.0)	(60, 8.17288e-05)	(61, 0.000415162)	(62, 1.57652e-05)	(63, 8.72532e-05)	(64, 4.78916e-05)	(65, 3.2126000000000004e-05)	(66, 0.000101021)	(67, 0.0)	(68, 2.86482e-05)	(69, 0.0)	(70, 7.46401e-05)	(71, 0.00012105900000000001)	(72, 0.0)	(73, 0.0)	(74, 0.000246987)	(75, 0.00022289899999999998)	(76, 4.74615e-05)	(77, 1.3030099999999999e-05)	(78, 0.00011368499999999999)	(79, 6.60383e-05)	(80, 0.00021280000000000002)	(81, 0.0)	(82, 0.0)	(83, 0.000104153)	(84, 0.0)	(85, 0.00039497100000000004)	(86, 9.25046e-06)	(87, 0.000498407)	(88, 0.00048793)	(89, 3.78041e-05)	(90, 0.0)	(91, 0.000206226)	(92, 0.00010631499999999999)	(93, 7.79204e-05)	(94, 0.000294465)	(95, 5.40978e-05)	(96, 1.9718900000000002e-05)	(97, 0.00011863100000000001)	(98, 4.4645e-05)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5936197	(1, 0.000804975)	(2, 0.0012189599999999998)	(3, 0.00215733)	(4, 0.00243332)	(5, 0.00215733)	(6, 0.0008785719999999999)	(7, 1.3799599999999999e-05)	(8, 4.59985e-06)	(9, 0.00039558700000000003)	(10, 1.3799599999999999e-05)	(11, 0.0)	(12, 0.0)	(13, 0.000151795)	(14, 0.0)	(15, 0.000367988)	(16, 0.00017019500000000002)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 4.59985e-06)	(21, 0.0)	(22, 0.00032659)	(23, 1.83994e-05)	(24, 2.29993e-05)	(25, 0.000211593)	(26, 0.0)	(27, 3.67988e-05)	(28, 0.0)	(29, 0.0)	(30, 4.59985e-06)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 6.4398e-05)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 5.05984e-05)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 3.26025e-05)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 4.90433e-06)	(61, 0.0)	(62, 0.0)	(63, 0.000105117)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5936221	(1, 0.0396817)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 2.5784100000000003e-05)	(21, 0.0)	(22, 0.0)	(23, 1.10503e-05)	(24, 0.000298359)	(25, 0.000302042)	(26, 0.0)	(27, 0.0)	(28, 5.1568200000000005e-05)	(29, 1.84172e-05)	(30, 0.0)	(31, 1.84172e-05)	(32, 0.0)	(33, 0.0)	(34, 0.000151021)	(35, 0.000434646)	(36, 0.000279942)	(37, 8.10358e-05)	(38, 0.000217323)	(39, 0.0)	(40, 1.84172e-05)	(41, 0.0)	(42, 0.0)	(43, 0.00028730899999999997)	(44, 0.00023942400000000002)	(45, 3.68344e-05)	(46, 0.000202589)	(47, 0.000335193)	(48, 0.000430963)	(49, 6.99854e-05)	(50, 3.68344e-06)	(51, 0.000240827)	(52, 0.000339157)	(53, 0.000517343)	(54, 0.000241331)	(55, 5.31044e-05)	(56, 0.000194607)	(57, 0.000364694)	(58, 0.0)	(59, 0.0)	(60, 0.00010560299999999998)	(61, 0.00041329400000000003)	(62, 3.96117e-06)	(63, 0.000127556)	(64, 5.61595e-05)	(65, 5.2472399999999996e-05)	(66, 8.93589e-05)	(67, 0.0)	(68, 2.8798600000000002e-05)	(69, 0.0)	(70, 8.33711e-05)	(71, 0.00010911)	(72, 4.22492e-06)	(73, 0.0)	(74, 0.000201237)	(75, 0.000280166)	(76, 6.94204e-05)	(77, 1.31032e-05)	(78, 0.000127522)	(79, 0.000101836)	(80, 0.00023185700000000003)	(81, 0.0)	(82, 0.0)	(83, 8.65482e-05)	(84, 0.0)	(85, 0.000448168)	(86, 4.65308e-06)	(87, 0.0004967330000000001)	(88, 0.000665502)	(89, 5.22989e-05)	(90, 0.0)	(91, 0.00017857)	(92, 0.000131304)	(93, 6.371130000000001e-05)	(94, 0.000261757)	(95, 6.43362e-05)	(96, 4.96047e-06)	(97, 0.000109415)	(98, 1.9962899999999998e-05)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5946623	(1, 0.008500859999999999)	(2, 0.0)	(3, 0.000543128)	(4, 0.00031122999999999996)	(5, 0.0)	(6, 0.00173313)	(7, 0.0)	(8, 0.0)	(9, 0.000317333)	(10, 0.0)	(11, 3.66153e-05)	(12, 0.00122051)	(13, 0.0041375299999999995)	(14, 7.323070000000001e-05)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 8.54358e-05)	(19, 0.0)	(20, 0.000488205)	(21, 0.0)	(22, 6.1025599999999994e-05)	(23, 0.000665179)	(24, 0.000140359)	(25, 0.00101913)	(26, 0.0)	(27, 0.00121441)	(28, 0.000103743)	(29, 0.000689589)	(30, 0.000537025)	(31, 0.000903178)	(32, 0.0)	(33, 0.00010984599999999999)	(34, 0.00265461)	(35, 4.88205e-05)	(36, 0.00146461)	(37, 6.1025599999999996e-06)	(38, 0.000176974)	(39, 0.0009764089999999999)	(40, 0.000366153)	(41, 0.000146461)	(42, 0.00112287)	(43, 0.00138528)	(44, 0.00018917899999999999)	(45, 0.000408871)	(46, 0.000640769)	(47, 0.00278887)	(48, 0.00212369)	(49, 6.1025599999999996e-06)	(50, 0.0040521)	(51, 0.0021259200000000003)	(52, 0.0027925299999999997)	(53, 0.000975765)	(54, 9.30088e-05)	(55, 0.0037107000000000004)	(56, 0.000231332)	(57, 0.000753544)	(58, 0.00510305)	(59, 0.000747709)	(60, 7.63945e-05)	(61, 0.00149679)	(62, 0.00048205200000000007)	(63, 0.00195044)	(64, 0.00680102)	(65, 0.000971633)	(66, 0.0012779)	(67, 0.000177834)	(68, 0.000132408)	(69, 0.0)	(70, 0.00221501)	(71, 0.000652672)	(72, 6.76626e-06)	(73, 0.000326596)	(74, 0.0036674100000000003)	(75, 0.000928828)	(76, 0.000193729)	(77, 0.0012873000000000001)	(78, 0.0)	(79, 0.0020559899999999997)	(80, 0.000630466)	(81, 0.0019672599999999998)	(82, 0.0)	(83, 0.00046912299999999995)	(84, 0.0005011249999999999)	(85, 0.000350797)	(86, 0.000720684)	(87, 0.00114706)	(88, 0.000543712)	(89, 0.00308111)	(90, 0.0006338790000000001)	(91, 0.0008737119999999999)	(92, 0.00205768)	(93, 0.000169444)	(94, 0.000736697)	(95, 0.00111734)	(96, 2.32922e-05)	(97, 7.769379999999999e-06)	(98, 0.000629839)	(99, 1.55703e-05)	(100, 0.0)	(101, 0.0)
SRR5946691	(1, 0.018832699999999997)	(2, 4.71998e-05)	(3, 0.0)	(4, 4.71998e-05)	(5, 8.58178e-05)	(6, 0.000407634)	(7, 9.010870000000001e-05)	(8, 0.0)	(9, 0.0)	(10, 8.58178e-06)	(11, 0.0)	(12, 2.57453e-05)	(13, 0.0)	(14, 0.00014589)	(15, 0.0)	(16, 6.0072400000000004e-05)	(17, 7.723599999999999e-05)	(18, 0.0)	(19, 8.58178e-06)	(20, 0.0)	(21, 0.000248872)	(22, 0.0)	(23, 4.29089e-06)	(24, 0.000278908)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.000437671)	(29, 0.000416216)	(30, 0.00138167)	(31, 0.00110276)	(32, 0.000360435)	(33, 0.000248872)	(34, 0.0005320699999999999)	(35, 0.000158763)	(36, 0.0010641399999999999)	(37, 0.000180217)	(38, 0.000171636)	(39, 4.29089e-06)	(40, 3.0036200000000002e-05)	(41, 0.000510616)	(42, 8.58178e-06)	(43, 0.0009611590000000001)	(44, 0.00276333)	(45, 1.71636e-05)	(46, 0.00067367)	(47, 0.00022312599999999998)	(48, 0.000570688)	(49, 0.000527779)	(50, 0.00113279)	(51, 0.00094933)	(52, 0.00118909)	(53, 0.00038839100000000003)	(54, 0.00153153)	(55, 0.00213149)	(56, 0.000377246)	(57, 0.00033034)	(58, 0.00103281)	(59, 0.000889954)	(60, 0.000599962)	(61, 0.000475621)	(62, 0.000202458)	(63, 0.000759176)	(64, 0.00263129)	(65, 0.000163972)	(66, 0.00036762300000000003)	(67, 2.37103e-05)	(68, 0.000391268)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 9.30172e-05)	(73, 9.36182e-05)	(74, 0.0)	(75, 2.4955e-05)	(76, 1.00463e-05)	(77, 0.00010112)	(78, 0.000295192)	(79, 1.02476e-05)	(80, 0.0)	(81, 0.00015065600000000002)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.000726036)	(88, 0.0)	(89, 9.894359999999999e-05)	(90, 0.000132895)	(91, 0.00010600199999999999)	(92, 4.49706e-05)	(93, 0.0007420500000000001)	(94, 0.000365316)	(95, 0.00011440599999999999)	(96, 5.73396e-06)	(97, 0.000126496)	(98, 0.000196203)	(99, 2.32266e-05)	(100, 0.0)	(101, 0.0)
SRR5946876	(1, 0.0283647)	(2, 0.0044063)	(3, 0.0007536520000000001)	(4, 0.00060806)	(5, 0.000248363)	(6, 0.0016785900000000002)	(7, 0.000903526)	(8, 0.0)	(9, 8.13602e-05)	(10, 0.00019269499999999997)	(11, 1.2846300000000001e-05)	(12, 8.56423e-06)	(13, 5.5667499999999995e-05)	(14, 0.00010705299999999999)	(15, 0.0)	(16, 8.56423e-05)	(17, 0.0)	(18, 0.000171285)	(19, 0.0)	(20, 2.14106e-05)	(21, 4.28211e-06)	(22, 0.0)	(23, 0.0)	(24, 0.000402519)	(25, 0.000359698)	(26, 0.000115617)	(27, 0.000321159)	(28, 6.85138e-05)	(29, 3.8539e-05)	(30, 0.000145592)	(31, 0.0)	(32, 5.13854e-05)	(33, 3.8539e-05)	(34, 0.00196121)	(35, 0.00014131000000000001)	(36, 0.00021838799999999997)	(37, 0.000355415)	(38, 2.56927e-05)	(39, 0.000179849)	(40, 4.28211e-06)	(41, 0.000334005)	(42, 0.000530982)	(43, 0.0)	(44, 0.0)	(45, 1.71285e-05)	(46, 0.0)	(47, 9.84886e-05)	(48, 1.71285e-05)	(49, 0.000402519)	(50, 0.0)	(51, 0.0014832)	(52, 0.000308257)	(53, 0.00010929900000000001)	(54, 5.72316e-05)	(55, 1.32996e-05)	(56, 0.00120097)	(57, 0.00020234399999999997)	(58, 4.52965e-06)	(59, 2.28164e-05)	(60, 9.19551e-06)	(61, 0.000912729)	(62, 0.000182073)	(63, 0.00137353)	(64, 0.00038388600000000006)	(65, 0.00021488)	(66, 0.0010344599999999999)	(67, 0.00024727200000000004)	(68, 0.0012021199999999999)	(69, 0.000132986)	(70, 0.000382311)	(71, 0.00147659)	(72, 0.00181674)	(73, 0.00129217)	(74, 0.000241039)	(75, 0.00158212)	(76, 0.00032320600000000004)	(77, 0.0020392599999999998)	(78, 0.000222584)	(79, 0.000737559)	(80, 0.00164402)	(81, 0.0)	(82, 0.00025772500000000004)	(83, 0.000387159)	(84, 0.00010040099999999999)	(85, 0.000286917)	(86, 0.0022527099999999998)	(87, 7.44075e-05)	(88, 0.0010855399999999999)	(89, 0.000442718)	(90, 1.76341e-05)	(91, 0.000729671)	(92, 0.0084662)	(93, 0.000387059)	(94, 0.0)	(95, 0.0)	(96, 1.84111e-05)	(97, 5.54173e-05)	(98, 0.00025359499999999996)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5946902	(1, 0.000910853)	(2, 0.00107412)	(3, 0.00218261)	(4, 0.0028013)	(5, 0.00227713)	(6, 0.0010655299999999999)	(7, 2.57789e-05)	(8, 4.29648e-06)	(9, 0.00045542600000000004)	(10, 1.2889399999999999e-05)	(11, 0.0)	(12, 0.0)	(13, 0.00022771300000000002)	(14, 0.0)	(15, 0.000416758)	(16, 0.00015897)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 8.59295e-06)	(21, 0.0)	(22, 0.000373793)	(23, 1.2889399999999999e-05)	(24, 4.29648e-06)	(25, 0.000266382)	(26, 4.29648e-06)	(27, 3.43718e-05)	(28, 0.0)	(29, 0.0)	(30, 4.29648e-06)	(31, 0.0)	(32, 4.29648e-06)	(33, 0.0)	(34, 0.0)	(35, 6.015069999999999e-05)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 9.8819e-05)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 1.74405e-05)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0)	(62, 0.0)	(63, 0.000104313)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 5.13624e-06)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0)	(99, 0.0)	(100, 0.0)	(101, 0.0)
SRR5946910	(1, 0.0170273)	(2, 3.5818699999999996e-05)	(3, 0.0)	(4, 3.13414e-05)	(5, 0.000102979)	(6, 0.000358187)	(7, 9.85015e-05)	(8, 0.0)	(9, 0.0)	(10, 2.68641e-05)	(11, 0.0)	(12, 1.3432e-05)	(13, 0.0)	(14, 0.00013432)	(15, 0.0)	(16, 3.5818699999999996e-05)	(17, 9.85015e-05)	(18, 0.0)	(19, 4.4773400000000006e-06)	(20, 0.0)	(21, 0.00018804799999999999)	(22, 0.0)	(23, 0.0)	(24, 0.000250731)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.000398483)	(29, 0.000452212)	(30, 0.0012715699999999999)	(31, 0.0011462)	(32, 0.00034475500000000003)	(33, 0.000210435)	(34, 0.00043878)	(35, 0.00012984299999999998)	(36, 0.0009715829999999999)	(37, 0.000291027)	(38, 0.000273118)	(39, 0.0)	(40, 1.3432e-05)	(41, 0.000483553)	(42, 4.4773400000000006e-06)	(43, 0.0009133780000000001)	(44, 0.00267745)	(45, 1.3432e-05)	(46, 0.000626828)	(47, 0.000277595)	(48, 0.000528326)	(49, 0.00045668900000000003)	(50, 0.00106561)	(51, 0.000985553)	(52, 0.00115801)	(53, 0.000495576)	(54, 0.00141665)	(55, 0.0022415100000000004)	(56, 0.000309361)	(57, 0.000376011)	(58, 0.0009054499999999999)	(59, 0.0009667750000000001)	(60, 0.000509715)	(61, 0.000555346)	(62, 0.000219577)	(63, 0.000854421)	(64, 0.00240858)	(65, 0.000174723)	(66, 0.000439232)	(67, 1.4723999999999998e-05)	(68, 0.000459074)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 9.099729999999999e-05)	(73, 5.08578e-05)	(74, 1.02326e-05)	(75, 2.0587300000000002e-05)	(76, 2.5888e-05)	(77, 0.00012501300000000002)	(78, 0.000303987)	(79, 1.05488e-05)	(80, 0.0)	(81, 0.000128234)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.000683557)	(88, 0.0)	(89, 0.000123924)	(90, 8.508180000000001e-05)	(91, 0.000114242)	(92, 1.15063e-05)	(93, 0.000718518)	(94, 0.000379365)	(95, 0.000111086)	(96, 1.17169e-05)	(97, 0.000152675)	(98, 0.000170813)	(99, 1.1843999999999999e-05)	(100, 0.0)	(101, 0.0)
SRR5946975	(1, 0.008596900000000001)	(2, 6.0456400000000004e-06)	(3, 0.00056829)	(4, 0.000368784)	(5, 0.0)	(6, 0.00165046)	(7, 0.0)	(8, 0.0)	(9, 0.00030228199999999996)	(10, 0.0)	(11, 4.83651e-05)	(12, 0.00130586)	(13, 0.00420172)	(14, 6.65021e-05)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 6.65021e-05)	(19, 0.0)	(20, 0.000423195)	(21, 0.0)	(22, 3.62739e-05)	(23, 0.000743614)	(24, 9.67303e-05)	(25, 0.00128168)	(26, 0.0)	(27, 0.00109426)	(28, 9.06846e-05)	(29, 0.0005743359999999999)	(30, 0.000671066)	(31, 0.000822207)	(32, 0.0)	(33, 8.4639e-05)	(34, 0.00258149)	(35, 0.000120913)	(36, 0.00138445)	(37, 6.0456400000000004e-06)	(38, 0.000296236)	(39, 0.0010459)	(40, 0.000453423)	(41, 0.00012695799999999999)	(42, 0.00123936)	(43, 0.00115472)	(44, 0.00027810000000000004)	(45, 0.00039901199999999997)	(46, 0.0008524350000000001)	(47, 0.0028716799999999997)	(48, 0.0022248000000000003)	(49, 3.62739e-05)	(50, 0.00411708)	(51, 0.0022324099999999998)	(52, 0.00293406)	(53, 0.0009468)	(54, 0.00014098799999999999)	(55, 0.0036050699999999997)	(56, 0.000222285)	(57, 0.000681793)	(58, 0.00510877)	(59, 0.000724724)	(60, 0.000112918)	(61, 0.00152448)	(62, 0.000563006)	(63, 0.0016580400000000002)	(64, 0.00728574)	(65, 0.00083933)	(66, 0.00131919)	(67, 0.000200384)	(68, 0.000181821)	(69, 0.0)	(70, 0.00224859)	(71, 0.000678545)	(72, 2.64831e-05)	(73, 0.000312733)	(74, 0.0036643800000000005)	(75, 0.000981174)	(76, 0.000148593)	(77, 0.00134417)	(78, 6.82425e-06)	(79, 0.00214064)	(80, 0.000551877)	(81, 0.0018591299999999999)	(82, 0.0)	(83, 0.000505132)	(84, 0.00045155399999999995)	(85, 0.000298014)	(86, 0.0006493969999999999)	(87, 0.0011340200000000001)	(88, 0.000462034)	(89, 0.0030574599999999997)	(90, 0.0006721990000000001)	(91, 0.000779279)	(92, 0.00213816)	(93, 7.445080000000001e-05)	(94, 0.000719214)	(95, 0.0011546899999999999)	(96, 7.50429e-06)	(97, 0.0)	(98, 0.000609084)	(99, 7.5316e-06)	(100, 0.0)	(101, 0.0)
SRR5946993	(1, 0.015092799999999998)	(2, 3.67419e-05)	(3, 0.0)	(4, 2.85771e-05)	(5, 9.38961e-05)	(6, 0.000347007)	(7, 7.34839e-05)	(8, 0.0)	(9, 0.0)	(10, 8.164879999999999e-06)	(11, 0.0)	(12, 2.04122e-05)	(13, 0.0)	(14, 0.000187792)	(15, 0.0)	(16, 4.4906799999999995e-05)	(17, 0.00011839100000000001)	(18, 0.0)	(19, 4.0824399999999995e-06)	(20, 0.0)	(21, 0.00018371)	(22, 0.0)	(23, 0.0)	(24, 0.000338842)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.00046131599999999997)	(29, 0.000567459)	(30, 0.00122473)	(31, 0.00133904)	(32, 0.000347007)	(33, 0.000200039)	(34, 0.000420491)	(35, 0.00016738)	(36, 0.00104919)	(37, 0.000285771)	(38, 0.000146968)	(39, 4.0824399999999995e-06)	(40, 1.63298e-05)	(41, 0.000481728)	(42, 1.63298e-05)	(43, 0.0009675379999999999)	(44, 0.00276381)	(45, 4.0824399999999995e-06)	(46, 0.000694015)	(47, 0.000265359)	(48, 0.000489893)	(49, 0.000481728)	(50, 0.0010410200000000001)	(51, 0.00105458)	(52, 0.0011219000000000001)	(53, 0.000360665)	(54, 0.00142918)	(55, 0.00222383)	(56, 0.000366255)	(57, 0.00031743900000000003)	(58, 0.00101288)	(59, 0.000753217)	(60, 0.000563806)	(61, 0.000510755)	(62, 0.000174121)	(63, 0.000774838)	(64, 0.00257961)	(65, 0.000212471)	(66, 0.000369459)	(67, 2.23842e-05)	(68, 0.00046379299999999994)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 6.91899e-05)	(73, 6.49678e-05)	(74, 9.33715e-06)	(75, 9.39363e-06)	(76, 1.89009e-05)	(77, 0.00013312)	(78, 0.000272714)	(79, 2.4077e-05)	(80, 0.0)	(81, 0.000136618)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.000700942)	(88, 0.0)	(89, 0.00010815500000000001)	(90, 7.78033e-05)	(91, 0.000125387)	(92, 2.6315200000000002e-05)	(93, 0.000742272)	(94, 0.000267065)	(95, 5.88892e-05)	(96, 1.0734900000000001e-05)	(97, 9.690430000000001e-05)	(98, 0.00021079300000000003)	(99, 1.63251e-05)	(100, 0.0)	(101, 0.0)
