Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR5936131	(1, 32.5812)	(2, 32.6549)	(3, 32.6977)	(4, 32.723)	(5, 32.7184)	(6, 36.5091)	(7, 36.5067)	(8, 36.4995)	(9, 36.524)	(10, 36.4945)	(11, 36.5066)	(12, 36.4944)	(13, 36.4982)	(14, 36.4942)	(15, 36.4763)	(16, 36.4711)	(17, 36.4626)	(18, 36.4502)	(19, 36.4434)	(20, 36.4483)	(21, 36.4436)	(22, 36.4297)	(23, 36.4371)	(24, 36.429)	(25, 36.421)	(26, 36.4128)	(27, 36.3993)	(28, 36.4046)	(29, 36.4036)	(30, 36.3936)	(31, 36.3944)	(32, 36.3925)	(33, 36.3915)	(34, 36.3829)	(35, 36.3782)	(36, 36.3479)	(37, 36.3662)	(38, 36.3705)	(39, 36.3465)	(40, 36.3498)	(41, 36.3491)	(42, 36.351)	(43, 36.3448)	(44, 36.3312)	(45, 36.3176)	(46, 36.317)	(47, 36.2837)	(48, 36.2982)	(49, 36.2678)	(50, 36.2662)	(51, 36.2564)	(52, 36.256)	(53, 36.2464)	(54, 36.2447)	(55, 36.2293)	(56, 36.2425)	(57, 36.2425)	(58, 36.2346)	(59, 36.2304)	(60, 36.2192)	(61, 36.2215)	(62, 36.2159)	(63, 36.2103)	(64, 36.1807)	(65, 36.1813)	(66, 36.1617)	(67, 36.1734)	(68, 36.1712)	(69, 36.1705)	(70, 36.1635)	(71, 36.1626)	(72, 36.1202)	(73, 36.1455)	(74, 36.1411)	(75, 36.133)	(76, 36.1285)	(77, 36.1176)	(78, 36.1101)	(79, 36.1004)	(80, 36.0614)	(81, 36.0422)	(82, 36.0533)	(83, 36.0328)	(84, 36.0055)	(85, 36.0219)	(86, 36.0165)	(87, 36.0062)	(88, 36.0064)	(89, 36.0052)	(90, 35.9909)	(91, 35.9731)	(92, 35.9625)	(93, 35.9026)	(94, 35.9179)	(95, 35.9086)	(96, 35.9014)	(97, 35.9259)	(98, 35.9306)	(99, 36.0029)	(100, 36.1949)	(101, 35.235)
SRR5936197	(1, 32.406)	(2, 32.4883)	(3, 32.5245)	(4, 32.572)	(5, 32.5534)	(6, 36.2276)	(7, 36.24)	(8, 36.2428)	(9, 36.2678)	(10, 36.2475)	(11, 36.2541)	(12, 36.2462)	(13, 36.2508)	(14, 36.2439)	(15, 36.2226)	(16, 36.2067)	(17, 36.1982)	(18, 36.1987)	(19, 36.1985)	(20, 36.2053)	(21, 36.1962)	(22, 36.1973)	(23, 36.188)	(24, 36.1887)	(25, 36.1857)	(26, 36.1817)	(27, 36.1686)	(28, 36.1715)	(29, 36.1682)	(30, 36.1625)	(31, 36.1597)	(32, 36.1566)	(33, 36.1515)	(34, 36.1479)	(35, 36.1405)	(36, 36.1305)	(37, 36.1394)	(38, 36.1266)	(39, 36.1157)	(40, 36.1131)	(41, 36.0978)	(42, 36.0956)	(43, 36.0883)	(44, 36.0872)	(45, 36.0734)	(46, 36.0586)	(47, 36.0492)	(48, 36.0325)	(49, 36.0072)	(50, 36.0032)	(51, 35.9852)	(52, 35.9824)	(53, 35.9622)	(54, 35.9668)	(55, 35.9541)	(56, 35.9544)	(57, 35.9519)	(58, 35.9526)	(59, 35.9494)	(60, 35.9416)	(61, 35.9371)	(62, 35.9273)	(63, 35.9283)	(64, 35.9266)	(65, 35.915)	(66, 35.9128)	(67, 35.9052)	(68, 35.9065)	(69, 35.8978)	(70, 35.8957)	(71, 35.8861)	(72, 35.8785)	(73, 35.8703)	(74, 35.8661)	(75, 35.8641)	(76, 35.8526)	(77, 35.8424)	(78, 35.8356)	(79, 35.8226)	(80, 35.8248)	(81, 35.8213)	(82, 35.8165)	(83, 35.8075)	(84, 35.7946)	(85, 35.7842)	(86, 35.7595)	(87, 35.7635)	(88, 35.7518)	(89, 35.7457)	(90, 35.7281)	(91, 35.7267)	(92, 35.7116)	(93, 35.6994)	(94, 35.7042)	(95, 35.6988)	(96, 35.6859)	(97, 35.6994)	(98, 35.7176)	(99, 35.782)	(100, 36.0164)	(101, 35.0499)
SRR5936221	(1, 32.6043)	(2, 32.6588)	(3, 32.7034)	(4, 32.7209)	(5, 32.7006)	(6, 36.5098)	(7, 36.5197)	(8, 36.504)	(9, 36.5423)	(10, 36.517)	(11, 36.5253)	(12, 36.5135)	(13, 36.5147)	(14, 36.5118)	(15, 36.4932)	(16, 36.4875)	(17, 36.4815)	(18, 36.4703)	(19, 36.4613)	(20, 36.4682)	(21, 36.4618)	(22, 36.4471)	(23, 36.4558)	(24, 36.4487)	(25, 36.4415)	(26, 36.4342)	(27, 36.421)	(28, 36.4272)	(29, 36.4275)	(30, 36.4185)	(31, 36.4198)	(32, 36.4192)	(33, 36.4187)	(34, 36.4105)	(35, 36.4062)	(36, 36.3772)	(37, 36.3963)	(38, 36.3999)	(39, 36.3758)	(40, 36.3781)	(41, 36.3765)	(42, 36.3796)	(43, 36.3713)	(44, 36.3589)	(45, 36.3455)	(46, 36.3452)	(47, 36.3111)	(48, 36.3263)	(49, 36.2967)	(50, 36.2951)	(51, 36.2852)	(52, 36.2853)	(53, 36.274)	(54, 36.2724)	(55, 36.2578)	(56, 36.2698)	(57, 36.2692)	(58, 36.2621)	(59, 36.2573)	(60, 36.2446)	(61, 36.2479)	(62, 36.2428)	(63, 36.2353)	(64, 36.2055)	(65, 36.2062)	(66, 36.1865)	(67, 36.1975)	(68, 36.1941)	(69, 36.1925)	(70, 36.186)	(71, 36.1843)	(72, 36.1419)	(73, 36.1658)	(74, 36.1628)	(75, 36.1536)	(76, 36.1492)	(77, 36.1386)	(78, 36.1301)	(79, 36.1212)	(80, 36.0824)	(81, 36.0628)	(82, 36.0723)	(83, 36.0506)	(84, 36.0237)	(85, 36.0409)	(86, 36.0358)	(87, 36.0245)	(88, 36.0252)	(89, 36.0243)	(90, 36.0092)	(91, 35.9899)	(92, 35.9797)	(93, 35.9179)	(94, 35.9332)	(95, 35.9213)	(96, 35.9151)	(97, 35.9386)	(98, 35.9439)	(99, 36.0152)	(100, 36.2069)	(101, 35.2318)
SRR5946623	(1, 34.2814)	(2, 34.3746)	(3, 34.3525)	(4, 34.422)	(5, 34.3614)	(6, 39.1384)	(7, 39.1179)	(8, 39.134)	(9, 39.1528)	(10, 39.1344)	(11, 39.1431)	(12, 39.1378)	(13, 39.1107)	(14, 39.112)	(15, 39.098)	(16, 39.0884)	(17, 39.0742)	(18, 39.0743)	(19, 39.09)	(20, 39.086)	(21, 39.0786)	(22, 39.061)	(23, 39.0455)	(24, 39.0597)	(25, 39.0609)	(26, 39.054)	(27, 39.0554)	(28, 39.0392)	(29, 39.0425)	(30, 39.0142)	(31, 39.0216)	(32, 39.0268)	(33, 39.0306)	(34, 39.0149)	(35, 39.0066)	(36, 38.9778)	(37, 38.9757)	(38, 38.9845)	(39, 38.9789)	(40, 38.9823)	(41, 38.9772)	(42, 38.9694)	(43, 38.9588)	(44, 38.954)	(45, 38.9291)	(46, 38.9167)	(47, 38.8942)	(48, 38.9097)	(49, 38.8985)	(50, 38.8841)	(51, 38.8918)	(52, 38.8881)	(53, 38.8706)	(54, 38.8718)	(55, 38.8783)	(56, 38.8755)	(57, 38.8587)	(58, 38.8511)	(59, 38.851)	(60, 38.8438)	(61, 38.8349)	(62, 38.8401)	(63, 38.83)	(64, 38.8083)	(65, 38.7942)	(66, 38.7859)	(67, 38.7961)	(68, 38.7804)	(69, 38.7827)	(70, 38.7736)	(71, 38.7724)	(72, 38.7606)	(73, 38.77)	(74, 38.7614)	(75, 38.7409)	(76, 38.7336)	(77, 38.7326)	(78, 38.717)	(79, 38.7178)	(80, 38.7076)	(81, 38.6735)	(82, 38.6699)	(83, 38.6529)	(84, 38.654)	(85, 38.6562)	(86, 38.6357)	(87, 38.6078)	(88, 38.6249)	(89, 38.6124)	(90, 38.5828)	(91, 38.5861)	(92, 38.5557)	(93, 38.5519)	(94, 38.5418)	(95, 38.536)	(96, 38.5309)	(97, 38.5362)	(98, 38.516)	(99, 38.4943)	(100, 38.5451)	(101, 37.425)
SRR5946691	(1, 32.4426)	(2, 32.541)	(3, 32.588)	(4, 32.6104)	(5, 32.5959)	(6, 36.2899)	(7, 36.2906)	(8, 36.2947)	(9, 36.321)	(10, 36.3074)	(11, 36.3091)	(12, 36.3126)	(13, 36.3105)	(14, 36.2897)	(15, 36.2908)	(16, 36.2771)	(17, 36.2664)	(18, 36.2725)	(19, 36.2979)	(20, 36.3229)	(21, 36.309)	(22, 36.3112)	(23, 36.2884)	(24, 36.2942)	(25, 36.2788)	(26, 36.2808)	(27, 36.2619)	(28, 36.2838)	(29, 36.3023)	(30, 36.3025)	(31, 36.3061)	(32, 36.3028)	(33, 36.2896)	(34, 36.2937)	(35, 36.2873)	(36, 36.2849)	(37, 36.2796)	(38, 36.2629)	(39, 36.2571)	(40, 36.2645)	(41, 36.261)	(42, 36.2391)	(43, 36.2365)	(44, 36.2312)	(45, 36.2357)	(46, 36.2367)	(47, 36.2264)	(48, 36.2031)	(49, 36.1946)	(50, 36.1856)	(51, 36.1663)	(52, 36.1737)	(53, 36.1777)	(54, 36.1647)	(55, 36.1648)	(56, 36.1516)	(57, 36.104)	(58, 36.1072)	(59, 36.1124)	(60, 36.126)	(61, 36.118)	(62, 36.1179)	(63, 36.1221)	(64, 36.1244)	(65, 36.1197)	(66, 36.1149)	(67, 36.1118)	(68, 36.1146)	(69, 36.0966)	(70, 36.1083)	(71, 36.095)	(72, 36.0774)	(73, 36.0838)	(74, 36.0803)	(75, 36.0677)	(76, 36.0499)	(77, 36.0406)	(78, 36.0269)	(79, 36.0155)	(80, 35.9948)	(81, 35.9982)	(82, 35.9832)	(83, 35.973)	(84, 35.9623)	(85, 35.9556)	(86, 35.9419)	(87, 35.9268)	(88, 35.9242)	(89, 35.9139)	(90, 35.9092)	(91, 35.9143)	(92, 35.8898)	(93, 35.8853)	(94, 35.8755)	(95, 35.8569)	(96, 35.8328)	(97, 35.839)	(98, 35.8678)	(99, 35.9358)	(100, 36.1315)	(101, 35.385)
SRR5946876	(1, 32.5067)	(2, 32.586)	(3, 32.6283)	(4, 32.6583)	(5, 32.6571)	(6, 36.3928)	(7, 36.3907)	(8, 36.3791)	(9, 36.4072)	(10, 36.4041)	(11, 36.403)	(12, 36.4001)	(13, 36.4174)	(14, 36.4122)	(15, 36.3775)	(16, 36.3899)	(17, 36.3878)	(18, 36.3898)	(19, 36.3693)	(20, 36.3921)	(21, 36.3631)	(22, 36.3727)	(23, 36.3749)	(24, 36.3511)	(25, 36.3572)	(26, 36.337)	(27, 36.3284)	(28, 36.3382)	(29, 36.347)	(30, 36.3455)	(31, 36.365)	(32, 36.3499)	(33, 36.3552)	(34, 36.3571)	(35, 36.3462)	(36, 36.3302)	(37, 36.3354)	(38, 36.3188)	(39, 36.3095)	(40, 36.2966)	(41, 36.2963)	(42, 36.2935)	(43, 36.2967)	(44, 36.2832)	(45, 36.2764)	(46, 36.282)	(47, 36.2675)	(48, 36.2492)	(49, 36.2352)	(50, 36.2196)	(51, 36.2061)	(52, 36.2025)	(53, 36.1912)	(54, 36.1799)	(55, 36.1747)	(56, 36.1657)	(57, 36.1644)	(58, 36.1637)	(59, 36.1163)	(60, 36.1259)	(61, 36.123)	(62, 36.1155)	(63, 36.1098)	(64, 36.1043)	(65, 36.0866)	(66, 36.0869)	(67, 36.096)	(68, 36.0675)	(69, 36.0571)	(70, 36.0499)	(71, 36.0498)	(72, 36.0384)	(73, 36.0237)	(74, 36.0133)	(75, 35.9996)	(76, 35.9924)	(77, 35.9834)	(78, 35.9714)	(79, 35.9713)	(80, 35.9611)	(81, 35.9491)	(82, 35.9399)	(83, 35.9303)	(84, 35.9194)	(85, 35.9139)	(86, 35.8924)	(87, 35.8774)	(88, 35.8642)	(89, 35.8685)	(90, 35.8431)	(91, 35.8255)	(92, 35.7925)	(93, 35.7697)	(94, 35.777)	(95, 35.7544)	(96, 35.731)	(97, 35.7417)	(98, 35.7468)	(99, 35.8172)	(100, 36.0814)	(101, 34.9413)
SRR5946902	(1, 32.3877)	(2, 32.4676)	(3, 32.5009)	(4, 32.5515)	(5, 32.5382)	(6, 36.2007)	(7, 36.2084)	(8, 36.2121)	(9, 36.2378)	(10, 36.2157)	(11, 36.2238)	(12, 36.2123)	(13, 36.2174)	(14, 36.2102)	(15, 36.19)	(16, 36.1718)	(17, 36.1639)	(18, 36.1664)	(19, 36.1656)	(20, 36.1712)	(21, 36.1627)	(22, 36.1642)	(23, 36.1551)	(24, 36.1546)	(25, 36.1519)	(26, 36.1491)	(27, 36.1342)	(28, 36.1364)	(29, 36.1325)	(30, 36.1284)	(31, 36.1252)	(32, 36.1214)	(33, 36.1157)	(34, 36.1119)	(35, 36.1044)	(36, 36.0946)	(37, 36.1012)	(38, 36.089)	(39, 36.0797)	(40, 36.0776)	(41, 36.0613)	(42, 36.0593)	(43, 36.0512)	(44, 36.0504)	(45, 36.0369)	(46, 36.0198)	(47, 36.013)	(48, 35.996)	(49, 35.9671)	(50, 35.9606)	(51, 35.9435)	(52, 35.942)	(53, 35.9227)	(54, 35.9263)	(55, 35.912)	(56, 35.9132)	(57, 35.9106)	(58, 35.9124)	(59, 35.9085)	(60, 35.9016)	(61, 35.896)	(62, 35.8878)	(63, 35.8913)	(64, 35.8873)	(65, 35.8771)	(66, 35.8755)	(67, 35.8694)	(68, 35.8669)	(69, 35.8611)	(70, 35.856)	(71, 35.8455)	(72, 35.8414)	(73, 35.8317)	(74, 35.829)	(75, 35.8235)	(76, 35.8146)	(77, 35.8047)	(78, 35.7981)	(79, 35.7823)	(80, 35.7863)	(81, 35.7827)	(82, 35.7787)	(83, 35.7686)	(84, 35.7561)	(85, 35.7459)	(86, 35.7224)	(87, 35.7263)	(88, 35.7134)	(89, 35.7071)	(90, 35.691)	(91, 35.6904)	(92, 35.6754)	(93, 35.664)	(94, 35.6679)	(95, 35.6585)	(96, 35.6536)	(97, 35.6691)	(98, 35.6862)	(99, 35.7536)	(100, 35.9976)	(101, 35.0223)
SRR5946910	(1, 32.5336)	(2, 32.6214)	(3, 32.6635)	(4, 32.6824)	(5, 32.666)	(6, 36.4122)	(7, 36.4128)	(8, 36.4129)	(9, 36.4357)	(10, 36.4215)	(11, 36.4336)	(12, 36.4324)	(13, 36.4306)	(14, 36.4076)	(15, 36.4121)	(16, 36.3984)	(17, 36.3884)	(18, 36.3935)	(19, 36.415)	(20, 36.4368)	(21, 36.4247)	(22, 36.4256)	(23, 36.4045)	(24, 36.4088)	(25, 36.3937)	(26, 36.3966)	(27, 36.3774)	(28, 36.3981)	(29, 36.4151)	(30, 36.4142)	(31, 36.4162)	(32, 36.4144)	(33, 36.4013)	(34, 36.4043)	(35, 36.3972)	(36, 36.396)	(37, 36.3896)	(38, 36.376)	(39, 36.37)	(40, 36.3775)	(41, 36.3736)	(42, 36.3498)	(43, 36.3507)	(44, 36.3466)	(45, 36.3503)	(46, 36.3517)	(47, 36.342)	(48, 36.3208)	(49, 36.3145)	(50, 36.3072)	(51, 36.2877)	(52, 36.2948)	(53, 36.2972)	(54, 36.2842)	(55, 36.2837)	(56, 36.2718)	(57, 36.224)	(58, 36.2289)	(59, 36.2326)	(60, 36.2443)	(61, 36.2353)	(62, 36.236)	(63, 36.2369)	(64, 36.2381)	(65, 36.2323)	(66, 36.2269)	(67, 36.2246)	(68, 36.2273)	(69, 36.2098)	(70, 36.2196)	(71, 36.2044)	(72, 36.1902)	(73, 36.1943)	(74, 36.189)	(75, 36.1763)	(76, 36.1601)	(77, 36.1508)	(78, 36.1378)	(79, 36.1275)	(80, 36.1058)	(81, 36.1064)	(82, 36.0919)	(83, 36.0828)	(84, 36.0698)	(85, 36.0641)	(86, 36.0513)	(87, 36.0358)	(88, 36.0325)	(89, 36.0207)	(90, 36.016)	(91, 36.0189)	(92, 35.9965)	(93, 35.9893)	(94, 35.9769)	(95, 35.9612)	(96, 35.938)	(97, 35.9384)	(98, 35.9629)	(99, 36.0237)	(100, 36.1951)	(101, 35.4354)
SRR5946975	(1, 34.1798)	(2, 34.2808)	(3, 34.2709)	(4, 34.3519)	(5, 34.3036)	(6, 39.0015)	(7, 38.9804)	(8, 38.9632)	(9, 39.0215)	(10, 39.0046)	(11, 39.0148)	(12, 39.0115)	(13, 38.9847)	(14, 38.9879)	(15, 38.9704)	(16, 38.957)	(17, 38.9426)	(18, 38.9413)	(19, 38.9584)	(20, 38.9537)	(21, 38.9455)	(22, 38.9251)	(23, 38.9066)	(24, 38.9223)	(25, 38.9219)	(26, 38.9164)	(27, 38.917)	(28, 38.8988)	(29, 38.9)	(30, 38.8702)	(31, 38.8747)	(32, 38.8804)	(33, 38.884)	(34, 38.867)	(35, 38.8559)	(36, 38.8255)	(37, 38.8232)	(38, 38.8319)	(39, 38.8246)	(40, 38.8266)	(41, 38.82)	(42, 38.8096)	(43, 38.7999)	(44, 38.7909)	(45, 38.7645)	(46, 38.7517)	(47, 38.7262)	(48, 38.7408)	(49, 38.7254)	(50, 38.7114)	(51, 38.7157)	(52, 38.7128)	(53, 38.694)	(54, 38.6973)	(55, 38.7008)	(56, 38.6967)	(57, 38.6792)	(58, 38.6709)	(59, 38.6709)	(60, 38.6628)	(61, 38.6537)	(62, 38.6557)	(63, 38.6457)	(64, 38.6223)	(65, 38.608)	(66, 38.5985)	(67, 38.6093)	(68, 38.5895)	(69, 38.5892)	(70, 38.5828)	(71, 38.5791)	(72, 38.5656)	(73, 38.5757)	(74, 38.5654)	(75, 38.5428)	(76, 38.5332)	(77, 38.5314)	(78, 38.5155)	(79, 38.5158)	(80, 38.5043)	(81, 38.4662)	(82, 38.4645)	(83, 38.4449)	(84, 38.4426)	(85, 38.446)	(86, 38.4235)	(87, 38.3924)	(88, 38.4105)	(89, 38.3969)	(90, 38.3654)	(91, 38.3685)	(92, 38.3338)	(93, 38.3263)	(94, 38.3165)	(95, 38.3104)	(96, 38.3032)	(97, 38.308)	(98, 38.2874)	(99, 38.2645)	(100, 38.3302)	(101, 37.2392)
SRR5946993	(1, 32.4475)	(2, 32.5421)	(3, 32.5939)	(4, 32.6137)	(5, 32.5959)	(6, 36.2913)	(7, 36.2875)	(8, 36.2898)	(9, 36.3222)	(10, 36.3032)	(11, 36.3134)	(12, 36.3121)	(13, 36.3094)	(14, 36.2864)	(15, 36.2889)	(16, 36.2727)	(17, 36.2603)	(18, 36.2651)	(19, 36.2918)	(20, 36.3152)	(21, 36.3036)	(22, 36.3039)	(23, 36.2782)	(24, 36.2847)	(25, 36.2671)	(26, 36.2713)	(27, 36.2504)	(28, 36.2717)	(29, 36.2905)	(30, 36.2923)	(31, 36.2925)	(32, 36.288)	(33, 36.2761)	(34, 36.2789)	(35, 36.2704)	(36, 36.2715)	(37, 36.2641)	(38, 36.2451)	(39, 36.2391)	(40, 36.2468)	(41, 36.242)	(42, 36.2189)	(43, 36.218)	(44, 36.2098)	(45, 36.2151)	(46, 36.2145)	(47, 36.202)	(48, 36.1776)	(49, 36.169)	(50, 36.1575)	(51, 36.1369)	(52, 36.1463)	(53, 36.146)	(54, 36.1328)	(55, 36.1321)	(56, 36.1166)	(57, 36.0683)	(58, 36.0712)	(59, 36.071)	(60, 36.089)	(61, 36.0757)	(62, 36.0754)	(63, 36.0785)	(64, 36.0815)	(65, 36.0718)	(66, 36.068)	(67, 36.0653)	(68, 36.068)	(69, 36.0477)	(70, 36.0594)	(71, 36.0421)	(72, 36.024)	(73, 36.03)	(74, 36.0205)	(75, 36.0084)	(76, 35.9906)	(77, 35.9797)	(78, 35.9646)	(79, 35.9527)	(80, 35.9277)	(81, 35.9294)	(82, 35.9138)	(83, 35.9017)	(84, 35.8897)	(85, 35.8842)	(86, 35.8625)	(87, 35.8501)	(88, 35.846)	(89, 35.8307)	(90, 35.8262)	(91, 35.8311)	(92, 35.8024)	(93, 35.797)	(94, 35.7882)	(95, 35.7675)	(96, 35.7455)	(97, 35.7498)	(98, 35.774)	(99, 35.8494)	(100, 36.055)	(101, 35.2088)
