Sample	Passed Filter	Low Quality	Too Many N	Low Complexity	Too Short	Too Long
SRR5936131	54566274.0	0.0	36.0	nan	202.0	0.0
SRR5936197	43479320.0	0.0	74.0	nan	242.0	0.0
SRR5936221	54296606.0	0.0	56.0	nan	348.0	0.0
SRR5946623	32772632.0	0.0	368.0	nan	146.0	0.0
SRR5946691	46610100.0	0.0	58.0	nan	234.0	0.0
SRR5946876	46705566.0	0.0	14.0	nan	324.0	0.0
SRR5946902	46549590.0	0.0	86.0	nan	100.0	0.0
SRR5946910	44669090.0	0.0	58.0	nan	210.0	0.0
SRR5946975	33081052.0	0.0	418.0	nan	212.0	0.0
SRR5946993	48989864.0	0.0	80.0	nan	384.0	0.0
SRR5947065	51824476.0	0.0	48.0	nan	330.0	0.0
SRR5950712	34431404.0	0.0	458.0	nan	168.0	0.0
SRR5950729	43058898.0	0.0	10.0	nan	274.0	0.0
SRR5950758	45156094.0	4.0	16.0	nan	676.0	0.0
SRR5950780	44366794.0	0.0	82.0	nan	102.0	0.0
