Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length
SRR5936131	21.537799999999997	96.4862	4920.470968	54.566274	44.8541	99.9995638350496	99.86521792498753	2.9759974396017834	93.0	93.0
SRR5936197	11.2821	94.8359	3829.3446519999998	43.47932	44.6218	99.9992732229865	99.86024017218473	3.0589124527169456	93.0	92.0
SRR5936221	23.1215	96.4777	4892.423427	54.296606	44.715500000000006	99.99925594429601	99.8619406213324	3.0190354864844307	93.0	93.0
SRR5946623	17.0408	98.2263	3054.209644	32.772632	43.7537	99.99843164278461	99.8514382235096	3.428672975124207	95.0	94.0
SRR5946691	20.7316	96.0325	4196.645506	46.610099999999996	44.2038	99.99937353026338	99.86806378680839	2.940940724120063	94.0	93.0
SRR5946876	25.368299999999998	95.5754	4107.702737	46.705566	46.238600000000005	99.99927632275354	99.8415528334738	3.4000669380042403	92.0	91.0
SRR5946902	13.203500000000002	94.9779	4060.1882389999996	46.549589999999995	45.0132	99.9996004277228	99.84826084854434	3.271895443707398	92.0	91.0
SRR5946910	19.165499999999998	95.9825	4029.525443	44.66909	44.7142	99.99940003615006	99.8655732435895	2.940861608084898	94.0	94.0
SRR5946975	12.7745	98.1391	3104.912699	33.081052	45.6005	99.99809562282836	99.86626569050408	3.113354393528116	96.0	95.0
SRR5946993	19.5427	95.4417	4401.996101	48.989864	48.4596	99.99905287427346	99.87466435919428	2.795270119440719	94.0	93.0
SRR5947065	20.555	96.5707	4686.233885	51.824476	45.9653	99.99927062023175	99.86476839113512	2.9613976336527643	93.0	93.0
SRR5950712	17.5379	98.29	3195.856977	34.431404	46.033	99.99818192537587	99.8366062955815	3.7219763110104163	94.0	94.0
SRR5950729	11.5055	95.042	3803.4234819999997	43.058898	46.361599999999996	99.99934044264937	99.8612892239336	3.0426866910755526	93.0	92.0
SRR5950758	32.3211	94.6746	3907.147995	45.156093999999996	49.9972	99.99845870355266	99.84252343266381	3.427546555014207	92.0	90.0
SRR5950780	20.5643	94.946	3922.837395	44.366794	43.8527	99.99958527714013	99.8674945762118	2.9567395823082654	93.0	92.0
